SMILES,EX_Boiling Point,bp_predicted
CCC(C)C(C)(C)C,109.8,105.82
CC(C)C(C)(C)C,80.8,82.94
CCCC(C)C(C)(C)C,134.0,128.7
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,246.0,282.4
CC(C)(C)C(=O)C(C)(C)C,152.0,179.77999999999997
CC(C)(C)CC(C)(C)C,122.2,125.90999999999997
CC(CC(C)(C)C)CC(C)(C)C,178.0,194.11
CCC(C)CC(C)(C)C,127.0,128.7
CC(C)CC(C)(C)C,99.2,105.82
CC(C)(C)CCC(C)(C)C,137.0,148.78999999999996
CC(C)CCC(C)(C)C,124.0,128.7
CC(C)(C)CO,112.0,129.8
CCC=CC(C)(C)C,105.4,110.42000000000002
CC(C)(C)C,9.5,37.620000000000005
CC(C)(OC)OC,77.4,82.46000000000004
CCC(CC)C(C)(C)C,134.0,128.7
CCC(C)(C)C,49.7,60.5
CCC(C)(C)C(=O)O,187.87,206.01
CCCCCC(C)(C)C,133.0,129.14
CCCCC(C)(C)C,106.8,106.25999999999999
CCCCCCC(C)(C)C,154.0,152.01999999999998
CCC(C(C)(C)C)O,136.0,175.12
CCCC(C)(C)C,79.2,83.38
CC(C)(C)C=O,74.0,86.28000000000003
CC(C)C(C)(C)C(C)C,141.5,128.26
CCC(C)(C)C(=C)C,108.0,102.82
CC(=C)C(C)(C)C,77.8,79.94
CC(C)(C)C(C)(C)O,128.3,172.32999999999998
CCCC(C)(C)C(C)C,137.0,128.7
CCC(C)(C)C(C)C,114.7,105.82
CC(C)C(=C(C)C)C,116.0,112.97000000000003
CC(C)C(C)C(C)C,113.4,108.16999999999996
CC(C)CC(C)C(C)C,131.0,131.04999999999995
CC(=O)C(=O)C,87.5,125.71000000000004
CCCC(C)C(=C)C,111.0,105.61000000000001
CCC(C)C(=C)C,84.0,82.73000000000002
CCCC(=C(C)C)C,122.0,113.40999999999997
CCC(=C(C)C)C,96.0,90.52999999999997
CCCC(C)C(C)C,115.6,108.61000000000001
C1COC=C1,54.5,64.02999999999997
CC(C)C(=C)C,55.59,59.85000000000002
CC(C)C(C)(C)O,118.7,152.24
CC(=C(C)C)C,73.19,67.64999999999998
CC(C)C(C)C,58.0,62.85000000000002
CCCCC(C)C(C)C,140.6,131.49
CC1=CC2=CC=CC=C2C=C1C,267.0,256.63
CCCCCC(C)C(C)C,164.0,154.37
CCC(C)C(C)C,89.8,85.73000000000002
CC(=C)CC(C)(C)C,101.3,102.82
CC(=CC(C)(C)C)C,104.9,110.29999999999995
CCC(C)(C)CC(C)C,130.6,128.7
COCOCOCOCOCOCOC,280.0,266.42999999999995
COCOCOCOCOCOC,242.0,221.13
COCOCOCOCOC,202.0,175.83000000000004
COCOCOCOC,156.0,130.53000000000003
COCOCOC,105.0,85.23000000000002
CC(C)CC(=C)C,81.6,82.73000000000002
CC(C)C=C(C)C,83.3,90.20999999999998
CC(C)C(C(C)C)C(C)C,157.0,153.48999999999995
CC(=O)CC(=O)C,140.7,148.59000000000003
CC(C)C(C(C)C)O,142.0,177.47000000000003
CC(C)C(=O)C(C)C,125.2,139.60000000000002
CCC(C)CC(C)C,109.4,108.61000000000001
CCCCC(C)CC(C)C,154.0,154.37
CC(C)CC(C)C,80.4,85.73000000000002
CCCC(C)CCC(C)C,157.0,154.37
CC(C)CC=C(C)C,113.0,113.08999999999997
CC(=CC=C(C)C)C,135.2,117.57000000000005
CC(CCC(C)O)O,229.0,247.21000000000004
CC(=O)CCC(=O)C,194.0,171.47000000000003
CC1=CC=C(O1)C,96.0,118.90999999999997
CC(C)CCC(C)C,109.1,108.61000000000001
COC1=C(C(=CC=C1)OC)O,261.0,266.61
CC(C)CC(=O)CC(C)C,157.0,185.36
CC(C)CCCC(C)C,135.0,131.49
CC1=CC2=C(C=C1)C=C(C=C2)C,253.0,256.63
CCC(C)CCCC(C)C,158.0,154.37
CC(C)CCCCC(C)C,160.0,154.37
CCCOCCOCCO,214.8,223.63
COCCOCCO,194.0,177.87
C=COCCO,139.0,129.25
CC=CC,3.72,22.129999999999995
CCCCOCCOC(=O)C,191.1,190.13
CCCCCCC(CCCC)CO,248.0,292.75
CC#CC,27.1,26.970000000000027
CCC(C)(C)OCC,101.5,105.80000000000001
CCOCCOC(=O)C,156.6,144.37
CCOC(C)C,54.0,62.83000000000004
CCCC(C(CC)CO)O,243.0,292.97
CCC(=C)C(C)C,86.3,82.73000000000002
CCC(CC)C=O,118.0,111.95000000000005
CCCCCC(=O)C,151.0,140.48000000000002
CCCCC=CC,97.0,90.77000000000004
CCCCC#CC,113.6,95.61000000000001
CC(COC(=O)C(=C)C)O,90.0,233.13
CC(COC(=O)C=C)O,70.0,210.37
COC1=CC=CC=C1C=O,243.0,139.99
