SMILES,EX_Boiling Point,Tc,Pc,rhoc,omega,Tb,Tm,dHvap,dHfus
CC(C)(C)CC1=CC=CC=C1,186.0,668.523363113708,26.864584951068682,1.8290479407674018,0.36339967053026,463.7486843332133,234.42626543295253,40.48680362527113,10.904153935373998
CC(C)CC1CCCC1,148.0,616.8526257146206,27.445745412113457,2.074540901139959,0.3179823582736143,423.04057409496295,157.9096351730457,35.73287013015158,10.587470778267281
CC(=CCCC(=CCC=C(C)C=C)C)C,130.0,718.805617756022,18.175579708350195,1.2737752458469798,0.6086159499402072,527.1307724659653,246.4523290034644,47.659722690670584,22.33362565454838
CC=C(C)C(C)C,91.0,538.4469469620116,30.315960461202714,2.5331673745744676,0.2867321059288126,364.7900092799149,146.65222582674772,30.38020488198185,7.612536456045125
CC(OC)(OC)OC,109.0,542.6541020807115,33.60279920296098,2.659944611508929,0.40881565153532406,373.1315436299365,207.2664589835698,34.306069520883014,10.679917363376521
CC1CCCC1(C)C,113.7,588.8917026884607,32.21457206641596,2.4377211646423635,0.26558010677014215,391.86558862421026,244.39680208828435,33.40109213012524,6.2440812717799705
CC1CC1(C)C,53.0,496.3693062737637,37.16979139165241,3.3960797285993083,0.23471784395469364,323.1217165859494,142.2830615283218,26.97547159300525,6.880179647604015
CC1CCCCC1(C)C,146.0,622.6117126128067,29.647812794571873,2.1313365513827915,0.2720556786163009,418.5855353143995,245.7402109563094,35.617718455059006,6.971067540790515
CC1CCCC(C1)(C)C,136.6,609.2996234008269,28.010558340090018,2.081544275481387,0.27990330712890193,413.71344495259655,203.0412273827703,34.59936116395872,8.115182784784173
CC1CCC(C1)(C)C,104.9,560.8099844987098,30.18176683467646,2.4298192588608916,0.27566897437909876,374.60579096227593,147.70999677602353,31.37087608549072,7.469040474109825
CC1(CCCC1)C,87.8,549.5181341605871,33.810557963277944,2.7061441763641767,0.2461559021330246,361.6924236537358,195.85789023915754,30.648691604073278,3.8507721966625645
CCOC(C)OCC,102.0,535.8212738644739,30.975794901896492,2.4222706633277893,0.4751778959431489,376.0888386561445,184.12048618488055,35.47532928290224,13.080405175749128
CCC(OCC)OCC,121.0,559.9508084437523,28.1077664585712,2.128290033085835,0.4973512934746804,397.22052811905263,183.76912924100824,37.33199590363165,13.749700261818688
CC(OC)OC,63.0,501.63175976069857,37.66022713834279,3.352422223898876,0.3489051861861226,336.9038036369051,173.6896668579221,30.2563340373112,9.345595369407778
CC1(CCCCC1)C,119.5,593.3466993146108,30.90275195404823,2.3178119036612737,0.24622262225063962,394.21580875138557,234.6727293928291,33.25068014357341,4.663863330869324
CC1=CC(=C(C(=C1C)C)C)C,232.0,719.1586011230944,28.079968562341673,1.8453126978452454,0.439019161166982,502.51509322764105,330.5213039238484,46.44421607226096,13.455691212444385
C1CCC2=CC=CC=C2C1,207.2,712.4566342373323,35.695310201675966,2.2784464253446104,0.3323776604637863,477.618271616648,228.00553487058124,42.4178769137242,11.722099093382585
CC1=C(C(=C(C=C1)C)C)C,205.0,692.497695930469,30.63081381819705,2.084366068099652,0.399722521187379,476.8853714407664,272.7180538351272,43.40996437133967,12.046873518374905
CC1=CC(=C(C(=C1)C)C)C,198.0,681.6061588266577,29.643290222056198,2.0481858541185765,0.4026938211552556,471.59158200432694,254.49250317971874,42.56321244600475,12.04359511534426
CC1=C(C(=CC=C1)C)C,176.0,665.3318335613454,33.74506948786896,2.3559035109040294,0.36048274751384624,451.30228232128354,244.40177112675755,40.60010946983084,11.266332558571388
CC1=CC(=C(C=C1C)C)C,197.0,678.3777887238568,29.47983097633673,2.064934814176433,0.42438804580088907,470.8345729448001,328.1640573516207,42.490799217104694,17.146627219295002
