SMILES,EX_Boiling Point,bp_predicted_gcn,bp_predicted_mpnn
CC(C)(C)CC1=CC=CC=C1,186.0,186.543,187.12800000000004
CC(C)CC1CCCC1,148.0,136.279,140.858
CC(=CCCC(=CCC=C(C)C=C)C)C,130.0,239.721,254.409
CC=C(C)C(C)C,91.0,92.76500000000004,76.00400000000002
CC(OC)(OC)OC,109.0,97.43200000000002,124.68100000000004
CC1CCCC1(C)C,113.7,111.43700000000001,104.53400000000005
CC1CC1(C)C,53.0,68.543,28.105000000000018
CC1CCCCC1(C)C,146.0,129.05800000000005,140.49800000000005
CC1CCCC(C1)(C)C,136.6,124.17600000000004,139.154
CC1CCC(C1)(C)C,104.9,106.00200000000001,101.481
CC1(CCCC1)C,87.8,86.74900000000002,68.81600000000003
CCOC(C)OCC,102.0,89.11000000000001,94.98000000000002
CCC(OCC)OCC,121.0,107.50100000000003,103.923
CC(OC)OC,63.0,58.527000000000044,58.99000000000001
CC1(CCCCC1)C,119.5,106.132,104.74000000000001
CC1=CC(=C(C(=C1C)C)C)C,232.0,224.03900000000004,210.07300000000004
C1CCC2=CC=CC=C2C1,207.2,182.81900000000002,211.11600000000004
CC1=C(C(=C(C=C1)C)C)C,205.0,199.473,192.34000000000003
CC1=CC(=C(C(=C1)C)C)C,198.0,196.56100000000004,183.27100000000002
CC1=C(C(=CC=C1)C)C,176.0,175.31800000000004,168.78400000000005
CC1=CC(=C(C=C1C)C)C,197.0,200.42100000000005,183.30900000000003
CC1=CC(=C(C=C1)C)C,169.4,173.529,165.82300000000004
CCCCOCCOCCCC,198.0,187.33300000000003,177.91200000000003
CC1CCCC1C,99.5,87.11000000000001,96.49100000000004
CCOCCOCC,120.6,116.483,105.16200000000003
CCC1=CC=CC=C1CC,183.4,174.57600000000002,175.67400000000004
COC1=CC=CC=C1OC,206.0,192.54200000000003,187.47500000000002
COCCOC,85.0,76.89600000000002,76.13600000000002
CC1=CC=CC=C1C,144.4,153.31100000000004,147.30600000000004
CC1=C(C2=CC=CC=C2C=C1)C,267.0,252.798,264.736
CCC1CO1,63.4,69.536,58.879999999999995
C(CO)O,197.5,184.20700000000005,209.18100000000004
CC(CO)O,187.3,176.644,171.33800000000002
CC1CCCCC1C,129.7,112.82300000000004,132.94100000000003
CCC1=CC(=CC(=C1)CC)CC,215.8,208.88300000000004,205.377
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,249.0,235.88300000000004,244.44100000000003
CC1=CC(=CC(=C1)C)C,164.7,166.37800000000004,169.35400000000004
CC1CC(CC(C1)C)C,141.0,117.35300000000001,169.728
CCC1=CC(=CC(=C1)C)C,184.0,181.34200000000004,182.10900000000004
CC1CCC(C1)C,91.7,84.62,94.88600000000002
C1CC=CC=C1,80.3,95.34500000000003,77.78500000000003
CCC1=CC(=CC=C1)CC,181.1,174.30800000000005,175.767
CC(C)C1=CC(=CC=C1)C(C)C,203.0,195.51000000000005,211.37100000000004
CC1=CC(=CC=C1)C,139.1,146.91500000000002,143.21300000000002
CC1CCCC(C1)C,124.4,109.29400000000004,131.41000000000003
CC1=CC2=CC=CC=C2C(=C1)C,265.0,251.654,262.19000000000005
C1COCO1,75.3,60.49800000000005,62.35900000000004
C1=CC(=CC=C1C(=O)O)C(=O)O,300.0,369.45799999999997,371.67100000000005
C1C=CCC=C1,89.5,92.61700000000002,87.55100000000004
CCC1=CC=C(C=C1)CC,184.0,174.74600000000004,178.97400000000005
CC1=CC=C(C=C1)C,138.3,147.51600000000002,141.41200000000003
CC1CCC(CC1)C,124.3,111.50200000000001,127.73600000000005
CC1=CC=C(C2=CC=CC=C12)C,264.0,253.71699999999998,260.688
C=CC#CC=C,85.0,63.41300000000001,77.50600000000003
C1CC=CCCC=C1,149.0,131.35200000000003,112.90300000000002
CC1=C2C=CC=C(C2=CC=C1)C,267.0,252.721,263.597
CC1CCCC2=C(C=CC=C12)C,239.0,224.125,250.212
C=CCCCCCCC=C,164.0,132.58800000000002,145.961
C=CC#C,6.0,4.3320000000000505,2.486000000000047
CCC=C,-6.3,0.8830000000000382,-6.655999999999949
CCCCCCCCC#C,174.0,140.73600000000005,144.68400000000003
CCCCCCOCC,142.0,132.723,125.18400000000003
CCCOCC,63.0,73.57100000000003,69.76300000000003
CCC1=CCCC1,106.2,97.76300000000003,94.24200000000002
CCCCC#C,71.2,72.44300000000004,65.12700000000001
CCCCCOC,99.0,95.39300000000003,92.42700000000002
CCC1(CCCC1)C,121.5,111.11000000000001,96.82500000000005
CC1=CC(=CC=C1)C(C)C,175.0,172.20700000000005,181.012
CCCCCCCC#C,150.8,124.68,125.81100000000004
CCCC=C,30.0,42.726,25.772000000000048
CC#CC=C,59.0,51.548,42.528999999999996
CCC(=O)C1=CC=CC=C1,217.4,192.96300000000002,196.43200000000002
CCCCO,117.6,123.12800000000004,112.21800000000002
CCCCOCC(C)O,172.0,175.81600000000003,167.73400000000004
CCC#C,8.1,10.747000000000014,-5.088999999999999
C1CCC(=CC1)C2=CC=CC=C2,268.0,222.334,237.812
CCCCCCCCCCO,229.0,223.69,226.59500000000003
CCCCCCCCC=C,171.0,140.61700000000002,148.57000000000005
CCCCCCCCCCCCO,264.1,255.80200000000002,264.34000000000003
CCCCCCCCCCC=C,213.4,172.73000000000002,186.315
CCC1=CC=CC=C1C=C,189.0,173.61200000000002,178.274
CC1=CC=CC=C1C=C,170.0,162.959,163.56300000000005
CCC1=CC(=CC=C1)C=C,190.0,171.303,180.233
CC1=CC(=CC=C1)C=C,170.0,157.61400000000003,165.06400000000002
CC1=CC=C(C=C1)C=C,172.0,158.00100000000003,165.02800000000002
CCC1=CC=CC(=C1C)C,194.0,186.65200000000004,185.625
CCC1=C(C=C(C=C1)C)C,188.0,184.40000000000003,177.935
CCC1=CC=CC=C1C,165.1,164.185,160.85700000000003
CCC1=CC=CC(=C1)C,161.3,160.99400000000003,159.86400000000003
CCC1=CC=C(C=C1)C,162.0,161.10500000000002,160.19300000000004
CCC1=CCCCC1,136.0,115.10500000000002,130.33100000000002
CCC1=CC=CC2=CC=CC=C21,258.0,239.899,258.23800000000006
CCCCCCCO,178.0,175.52100000000002,169.978
CCCCCC=C,94.0,88.43200000000002,91.95300000000003
CCCCCC#C,99.8,90.911,88.06700000000001
CCCCCCCCCCCCCCC=C,285.0,236.954,261.804
CCCCCCO,156.9,159.505,151.106
CCCCC=C,63.4,68.589,69.644
CC1=CC=C(C=C1)C(C)C,177.0,172.04700000000003,178.25100000000003
CC(COC)O,120.0,124.80100000000004,114.76100000000002
CC1=CCCCC1,110.3,97.31800000000004,101.53300000000002
CC1=CCCC1,75.0,80.38400000000001,65.44400000000002
CC1=CC=CC=C1C(C)C,178.0,174.668,182.031
CCCC1=CC=CC=C1C,185.0,183.45300000000003,179.72000000000003
CCCC1=CC=CC(=C1)C,182.0,181.02200000000005,179.142
CCCC1=CC=C(C=C1)C,183.0,181.18300000000005,177.69800000000004
CC1=CC=CC2=CC=CC=C12,244.4,228.62900000000002,244.577
CCCCCCCCCO,213.7,207.63400000000001,207.723
CCCCCCCC=C,146.9,124.56100000000004,129.697
CCCCCCCCO,194.7,191.57800000000003,188.851
CCCCCCC=C,121.3,107.74900000000002,110.82500000000005
CCCCCCC#C,126.2,108.399,106.93900000000002
CCCCCO,137.6,143.79000000000002,132.233
CCCC#C,39.9,45.30600000000004,26.824000000000012
CCCO,97.04,97.77500000000003,88.77000000000004
CCCOCC(C)O,150.2,159.365,149.29200000000003
CCCCCCCCCCCCCCO,295.8,287.9150000000001,299.124
CCCCCCCCCCCCC=C,251.1,204.84200000000004,224.06
CCCCCCCCCCCO,246.0,239.74599999999998,245.46800000000007
CCCCCCCCCC=C,192.7,156.673,167.442
CC(C)(C)C(C)(C)C,106.32,108.226,93.47300000000001
CCCC(C)(C)C(C)(C)C,160.0,142.406,140.072
CCC(C)(C)C(C)(C)C,140.2,125.75600000000003,120.406
CC(C)C(C)C(C)(C)C,133.0,127.69100000000003,123.322
CCC(C)C(C)(C)C,109.8,111.58600000000001,97.04000000000002
CC(C)C(C)(C)C,80.8,91.18800000000005,72.858
CCCC(C)C(C)(C)C,134.0,129.89000000000004,124.35400000000004
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,246.0,228.63500000000005,245.014
CC(C)(C)C(=O)C(C)(C)C,152.0,127.58000000000004,136.57500000000005
CC(C)(C)CC(C)(C)C,122.2,123.49700000000001,115.303
CC(CC(C)(C)C)CC(C)(C)C,178.0,168.65500000000003,169.97500000000002
CCC(C)CC(C)(C)C,127.0,126.22700000000003,118.96900000000005
CC(C)CC(C)(C)C,99.2,106.32000000000005,97.42400000000004
CC(C)(C)CCC(C)(C)C,137.0,142.24100000000004,131.392
