SMILES,EX_Boiling Point,bp_predicted
CC(C)(C)CC1=CC=CC=C1,186.0,194.1895519368113
CC(C)CC1CCCC1,148.0,144.04480077147377
CC(=CCCC(=CCC=C(C)C=C)C)C,130.0,249.89606087521906
CC=C(C)C(C)C,91.0,88.87224322253883
CC(OC)(OC)OC,109.0,106.2145157212882
CC1CCCC1(C)C,113.7,111.6582884787747
CC1CC1(C)C,53.0,56.392720558103576
CC1CCCCC1(C)C,146.0,144.74583737691358
CC1CCCC(C1)(C)C,136.6,136.6627825293835
CC1CCC(C1)(C)C,104.9,104.46375835219419
CC1(CCCC1)C,87.8,88.50250301605183
CCOC(C)OCC,102.0,99.77150542912057
CCC(OCC)OCC,121.0,121.23215640816983
CC(OC)OC,63.0,64.23208103720765
CC1(CCCCC1)C,119.5,118.97794549281889
CC1=CC(=C(C(=C1C)C)C)C,232.0,230.41320187980438
C1CCC2=CC=CC=C2C1,207.2,205.92217664216162
CC1=C(C(=C(C=C1)C)C)C,205.0,206.57435731530052
CC1=CC(=C(C(=C1)C)C)C,198.0,198.0724091721466
CC1=C(C(=CC=C1)C)C,176.0,176.4588814426902
CC1=CC(=C(C=C1C)C)C,197.0,196.7589428266192
CC1=CC(=C(C=C1)C)C,169.4,169.17886116757154
CCCCOCCOCCCC,198.0,207.82653054614224
CC1CCCC1C,99.5,93.73370951938091
CCOCCOCC,120.6,122.63870974468074
CCC1=CC=CC=C1CC,183.4,183.3078319530468
COC1=CC=CC=C1OC,206.0,190.1288464240127
COCCOC,85.0,84.92298456646984
CC1=CC=CC=C1C,144.4,143.03083216205027
CC1=C(C2=CC=CC=C2C=C1)C,267.0,267.19776460946684
CCC1CO1,63.4,59.68227296947612
C(CO)O,197.5,197.010235034252
CC(CO)O,187.3,187.35624090366122
CC1CCCCC1C,129.7,125.87889119142989
CCC1=CC(=CC(=C1)CC)CC,215.8,215.91206060985655
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,249.0,236.61739737578887
CC1=CC(=CC(=C1)C)C,164.7,167.9418326201768
CC1CC(CC(C1)C)C,141.0,142.4227089280257
CCC1=CC(=CC(=C1)C)C,184.0,185.86469506193737
CC1CCC(C1)C,91.7,91.44654515823566
C1CC=CC=C1,80.3,80.60000203674349
CCC1=CC(=CC=C1)CC,181.1,180.6110697309603
CC(C)C1=CC(=CC=C1)C(C)C,203.0,203.21741794601087
CC1=CC(=CC=C1)C,139.1,137.81911639923896
CC1CCCC(C1)C,124.4,122.49962104084466
CC1=CC2=CC=CC=C2C(=C1)C,265.0,263.05039629555836
C1COCO1,75.3,93.26428846579125
C1=CC(=CC=C1C(=O)O)C(=O)O,300.0,349.59941802639344
C1C=CCC=C1,89.5,81.22701992714678
CCC1=CC=C(C=C1)CC,184.0,184.2211069407661
CC1=CC=C(C=C1)C,138.3,138.7470655544853
CC1CCC(CC1)C,124.3,122.42699475539462
CC1=CC=C(C2=CC=CC=C12)C,264.0,264.22192562406724
C=CC#CC=C,85.0,69.5626419250263
C1CC=CCCC=C1,149.0,149.12376257894078
CC1=C2C=CC=C(C2=CC=C1)C,267.0,259.78122436513513
CC1CCCC2=C(C=CC=C12)C,239.0,235.77741817103401
C=CCCCCCCC=C,164.0,166.29166683683025
C=CC#C,6.0,5.104326827458692
CCC=C,-6.3,-5.622597827803929
CCCCCCCCC#C,174.0,173.58954229239816
CCCCCCOCC,142.0,142.96710830311895
CCCOCC,63.0,65.51800672749852
CCC1=CCCC1,106.2,109.34364010736522
CCCCC#C,71.2,72.37171177044411
CCCCCOC,99.0,97.86412851085674
CCC1(CCCC1)C,121.5,122.1125121979075
CC1=CC(=CC=C1)C(C)C,175.0,174.2417904460632
CCCCCCCC#C,150.8,151.2506047376653
CCCC=C,30.0,31.37761416693752
CC#CC=C,59.0,41.892360596937976
CCC(=O)C1=CC=CC=C1,217.4,222.96840360030586
CCCCO,117.6,117.1563661053043
CCCCOCC(C)O,172.0,169.1060934874572
CCC#C,8.1,8.205304508509926
C1CCC(=CC1)C2=CC=CC=C2,268.0,245.680301847711
CCCCCCCCCCO,229.0,229.2992380562364
CCCCCCCCC=C,171.0,170.0520527725539
CCCCCCCCCCCCO,264.1,265.05896788361565
CCCCCCCCCCC=C,213.4,214.59400713662058
CCC1=CC=CC=C1C=C,189.0,186.9877350141041
CC1=CC=CC=C1C=C,170.0,170.63265341477256
