biodiesel,fame_cn,best_mix_index,best_mix_cn,kl_divergence,cn_difference
rapeseed,52.86,200,45.0,12.12153308388658,7.859999999999999
rapeseed,55.0,200,45.0,11.626389574188535,10.0
rice bran,56.3,200,45.0,9.650327538939184,11.299999999999997
rubberseed,50.4,200,45.0,10.847574472237879,5.399999999999999
rubberseed,51.0,200,45.0,10.378898815285728,6.0
safflower,51.8,200,45.0,11.560664276413025,6.799999999999997
safflower,51.1,200,45.0,11.402526494480714,6.100000000000001
soybean,51.8,200,45.0,10.627529945324339,6.799999999999997
soybean,51.3,200,45.0,10.598688569727358,6.299999999999997
soybean,50.7,200,45.0,10.759438413697257,5.700000000000003
soybean,51.8,200,45.0,10.805284227942519,6.799999999999997
soybean,49.0,200,45.0,10.659432394016621,4.0
sunflower,51.9,200,45.0,11.690578565053627,6.899999999999999
sunflower,51.1,200,45.0,11.631785965087257,6.100000000000001
sunflower,50.0,200,45.0,11.67167111003401,5.0
tallow,60.4,200,45.0,8.584486617741765,15.399999999999999
waste cooking,56.2,200,45.0,9.894964631883372,11.200000000000003
yellow grease,56.3,200,45.0,9.79203937485157,11.299999999999997
LME [18],63.6,200,45.0,8.461081424700582,18.6
SFME [19],49.0,200,45.0,11.82763717647198,4.0
WPME [19],60.4,200,45.0,6.85539614207918,15.399999999999999
JME [54],54.0,200,45.0,10.236040583969814,9.0
JME [51],57.1,200,45.0,10.228426939576304,12.100000000000001
PGME [51],55.1,200,45.0,11.102361031319532,10.100000000000001
SME [53],47.7,200,45.0,11.047515277775782,2.700000000000003
RME [44],54.0,200,45.0,11.414696479363451,9.0
RME [52],52.2,200,45.0,11.896998625572358,7.200000000000003
SME [45],51.3,200,45.0,10.588396643075352,6.299999999999997
PEME [45],54.0,200,45.0,9.77716183154136,9.0
CRME [45],55.4,200,45.0,10.804552773405286,10.399999999999999
SFME [45],51.6,200,45.0,11.985736896834206,6.600000000000001
RME [45],54.5,200,45.0,11.84981635904052,9.5
PME [45],62.0,200,45.0,5.583393257652081,17.0
PKME [45],62.1,209,65.0,5.408324154552576,-2.8999999999999986
WFME [45],55.0,200,45.0,8.268266154597086,10.0
SME [47],51.0,200,45.0,10.653425218443353,6.0
SME [48],51.5,200,45.0,10.75731795316977,6.5
SME [55],47.2,200,45.0,10.682342127968248,2.200000000000003
CAME [55],55.0,200,45.0,11.727622176211145,10.0
LME [55],63.6,200,45.0,8.571547727965855,18.6
TME1 [55],62.9,200,45.0,8.45338770396076,17.9
TME2 [55],61.7,200,45.0,8.651872347812272,16.700000000000003
YGME [55],57.8,200,45.0,10.677714392492753,12.799999999999997
SME [42],54.0,200,45.0,10.73376311499546,9.0
Camelina [56],52.8,200,45.0,11.1824487633419,7.799999999999997
Coriander [57],53.3,200,45.0,11.98625721199702,8.299999999999997
Macadamia [58],57.5,200,45.0,11.141920350390773,12.5
SME [50],51.8,200,45.0,10.645314946425517,6.799999999999997
RSME [46],52.5,200,45.0,9.337659341384802,7.5
GME [26],48.0,200,45.0,11.59135450421384,3.0
SME [49],49.0,200,45.0,11.034669918187483,4.0
SFME [49],47.0,200,45.0,11.252765145092376,2.0
