rank,smiles,cn,cn_error,ysi,bp,density,lhv,dynamic_viscosity,tanimoto
1,CCCC(OCC)OCC,66.267,0.267,37.95715635085482,166.215432429208,904.3658732114202,31.149472237701016,1.1330999387948042,1.0
2,CCC(CC)C(=O)O,65.696,0.304,29.37901707314828,195.22349887365425,905.4136678078911,27.92336577882286,3.3141304504863576,0.3333333333333333
3,CCCCCC(OCC)OCC,65.693,0.307,55.9462910296038,200.36623343643816,902.7147185924508,33.371389774380525,2.016190694592684,0.65
4,CCC(C)(C)C(=O)O,65.62,0.38,33.76083715414842,190.40054112965865,913.2994134949656,27.64802775706441,3.3527398323624795,0.3888888888888889
5,CCOCOCC,65.311,0.689,17.911500855466695,96.48283658936751,905.1965447841287,28.624655001249607,0.5183825862175585,1.0
6,CCCCCCCCC=CCCCCCCCC(=O)OCC,66.8,0.8,140.2285658894942,341.6232731746033,870.1210121676827,36.63650750659065,3.73139893189235,1.0
7,CCOCC1CCCO1,65.16,0.84,37.88252608644928,157.29201324013252,930.7994031847572,29.87480986822197,1.1854765283761275,1.0
8,COCCOCCOCCO,66.894,0.894,21.98298219101704,224.01585166358797,1030.9109058691229,23.297585107883343,6.731028315719204,1.0
9,CCCCCCCCCC(=O)OCCCCCC,67.1,1.1,104.94586943111202,225.08086829058868,857.7924957429326,35.35675027538684,4.413183959563132,1.0
10,CCCC(=O)O,64.74,1.26,20.098420219038584,161.73771079489973,931.3829106176153,23.129526609923982,1.5903330839038434,0.5789473684210527
11,CCCCCCCCCCOC(=O)CCCC,64.689,1.311,104.88865127456775,230.8813189404944,857.5881312216801,34.9563810362112,3.859622513139008,1.0
12,CCCCCCCCCCCC(=O)OCC,67.49,1.49,89.81185238983048,272.931484744024,859.2408107908041,34.87564828816571,3.303444003743623,1.0
13,CCCCCCCCCCCC(=O)OC,64.496,1.504,85.12205559666053,259.85557277045723,867.3602606993899,34.815928124079505,2.98438656038359,1.0
14,CC(C)COCC(C)C,67.531,1.531,54.408613188966626,131.6726080336503,755.9920499607927,37.22053670020507,0.7756625999308789,1.0
15,CCCCCCCCC,64.195,1.805,52.10618874817591,153.10076166616764,723.0196533270317,44.22145909346812,0.7378843590996425,1.0
16,CCCCCCCCCCCC(=O)OC=C,64.096,1.904,91.01666432997041,257.5663004413724,877.7572227980068,34.85424995451812,3.3598057417102125,1.0
17,CCCCCC(OC)OC,67.956,1.956,42.89618603591395,172.77014149744033,917.9002634126006,32.26381853644694,1.3459228352897135,1.0
18,CCCCCCCCCC,67.962,1.962,58.92351088013365,178.01197922599906,734.9376957655568,44.15067244260343,0.9921095768762411,1.0
19,COCOCOC,68.017,2.017,13.864860190568223,103.46653301602244,1004.7765912482455,20.46639140206798,0.5549973282528414,1.0
20,CCCCCC=O,63.737,2.263,28.057099434881163,122.04968568649035,823.867570321838,35.34593903973327,0.5555769143576851,1.0
21,CCCCOC(=O)CCCCCCCC(=O)OCCCC,68.67,2.67,110.89488084014785,240.28062265566805,939.9985099100676,32.79491352891994,7.69998465910432,1.0
22,CCCCCCCCCCCCCCC1=CC=CC=C1,62.935,3.065,123.90812428625703,339.2061180952383,850.2451193044487,42.491707970547886,7.402298631047383,1.0
23,CCCCCCCCCCCC(=O)OCCC,69.121,3.121,100.39142256465381,253.13297373125917,857.664442478948,35.152028728643614,3.820854205668669,1.0
24,CCCCCCCCCCCCO,62.625,3.375,80.51079674448397,248.77261574774263,836.9945501334653,39.558103881766996,12.647345772819177,1.0
25,CCCCCCCCCCCC(=O)OCCCC,69.515,3.515,105.1978945196915,228.9253851953506,857.5045130515729,35.41252387093175,4.317210374146772,1.0
26,CCCCCCCCCCCCCCO,69.569,3.569,97.85015581550986,273.0122565591533,837.5144798904686,39.58505916637672,9.873823866449717,1.0
27,CCCCCCCCCCCCCC1=CC=CC=C1,62.254,3.746,120.3476314411229,332.744172777778,850.2451193044487,42.48835052025333,6.588188622808332,1.0
28,CCC(OCC)OCC,62.077,3.923,28.33661776391222,134.96591470255257,912.3343084370448,30.429886990531234,0.9476747632200375,0.5555555555555556
29,CCCCCCCC(OCC)OCC,62.063,3.937,70.94093438916539,240.20621831785456,903.6994821166227,34.620488586840416,2.88366882914037,0.6190476190476191
30,CCCCCCCC(CCC)CCCCCCC,62.043,3.957,114.10920920949818,313.5609882467534,777.3083848866311,44.064873007556514,5.131810740285576,1.0
31,CCCCCCCC,61.851,4.149,44.492955789233434,128.26949485186933,700.2133778395189,44.297145582195974,0.538291782541354,1.0
