rank,smiles,mixture_cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
1,CCCCC=CCCCCCCC(CCCCCC)CCCCCC,77.00656248161472,0.00656248161472206,77.00656248161472,126.87185912307093,True,OK,False,100.0,77.00656248161472,0.4,0.04823827036051498,True,126.87185912307093,316.21013956733054,796.1187418670411
2,CCCCCCC(CCCCCC)CCCCC(C)CCCC,77.0403580295396,0.04035802953960399,77.0403580295396,124.68082128317698,True,OK,False,100.0,77.0403580295396,0.4,0.04790279372021122,True,124.68082128317698,303.92126248628654,796.5845346007503
3,CCC(C)CCCCCCCCCCCCCC(CC)CC,77.04188711098826,0.04188711098825593,77.04188711098826,121.9784961480629,True,OK,False,100.0,77.04188711098826,0.4,0.07386332868253997,True,121.9784961480629,297.2414618844616,797.032454652185
4,CCCCCCCCCCCCCCCC(CC)CC,77.05275346905948,0.05275346905948197,77.05275346905948,117.71817151568361,True,OK,False,100.0,77.05275346905948,0.4,0.07969421982839642,True,117.71817151568361,283.7604787164436,797.9301499188877
5,C=CCCCCCCCCCCCCCCCCC,77.05873407964619,0.05873407964618593,77.05873407964619,116.56721377317844,True,OK,False,100.0,77.05873407964619,0.4,0.06711262290560027,True,116.56721377317844,275.9684261265613,798.4075692496176
6,CCCCCCCCCCCCCCCC(C)CC,76.70373579399109,0.2962642060089138,76.70373579399109,114.12683497924077,True,OK,False,100.0,76.70373579399109,0.4,0.09304290079909361,True,114.12683497924077,276.9500461154745,798.3080096226385
7,CCCCCCCCCOCCCCC,76.66635434087077,0.33364565912923183,76.66635434087077,99.64529959385537,True,OK,False,100.0,76.66635434087077,0.4,0.1474360372738316,True,99.64529959385537,249.5130589489561,792.0825026036788
8,CCCCCCCOCCCCCC,76.40435578041688,0.5956442195831215,76.40435578041688,95.15729485600161,True,OK,False,100.0,76.40435578041688,0.4,0.15650962753246134,True,95.15729485600161,242.3279589007758,792.4510854364578
9,CCCCCOCCCCC,75.091165935698,1.908834064301999,75.091165935698,87.02712056187741,True,OK,False,100.0,75.091165935698,0.4,0.2054617526203414,True,87.02712056187741,220.4453484591818,794.3976231964323
10,CCCCOCCCC,72.08563803706792,4.914361962932077,72.08563803706792,84.69961648639593,True,OK,False,100.0,72.08563803706792,0.4,0.20622710900082442,True,84.69961648639593,205.63054237557697,796.792107813846
11,CCCCOCCCCC=O,65.72297894391309,11.277021056086909,65.72297894391309,83.86927183772353,True,OK,False,100.0,65.72297894391309,0.4,0.05765972364625671,True,83.86927183772353,228.88654040907164,848.095169908123
12,CCCCOCCO,56.5015014982484,20.498498501751598,56.5015014982484,82.9547959037795,True,OK,False,100.0,56.5015014982484,0.4,0.026905032173813237,True,82.9547959037795,207.7435445086112,844.5749383884452
13,CCCCCC(=O)OCC,49.59544328336245,27.40455671663755,49.59544328336245,82.7473222587098,True,OK,False,100.0,49.59544328336245,0.4,0.010995140289082106,True,82.7473222587098,219.3380760147835,834.9166073771341
14,CCCCCC(=O)OC,46.71336084790173,30.286639152098267,46.71336084790173,82.73835518386727,True,OK,False,100.0,46.71336084790173,0.4,0.009170548815456647,True,82.73835518386727,212.51558875261532,837.1903519423379
