rank,smiles,cn,cn_error,cn_score,ysi
1,CCOCOCOC,65.99361954875285,0.0063804512471534736,65.99361954875285,16.46459694460378
2,CC=CCCCCC(=O)O,66.11855336840513,0.11855336840513075,66.11855336840513,47.84658109115352
3,CCC(CC)C(=O)O,65.69551886447474,0.3044811355252648,65.69551886447474,29.37901707314828
4,CCC(C)(C)C(=O)O,65.61977519463346,0.380224805366538,65.61977519463346,33.76083715414842
5,C=C(C)CCCCC(=O)O,66.3985806419501,0.39858064195010456,66.3985806419501,47.756088511235994
6,C#CCCCC(=O)O,66.63750985279665,0.6375098527966543,66.63750985279665,42.31349633370816
7,CCOCC1CCCO1,65.16034500780047,0.8396549921995273,65.16034500780047,37.88252608644928
8,C(CCC(=O)O)CC(=O)O,67.10015899176113,1.100158991761134,67.10015899176113,42.038983074088726
9,CCCC(=O)O,64.73988922426307,1.2601107757369334,64.73988922426307,20.098420219038584
10,C=CCCCC(=O)O,67.38142894720332,1.381428947203318,67.38142894720332,35.97949279405113
11,CCOCOC,64.36165302530236,1.6383469746976402,64.36165302530236,15.122379952295718
12,COCOCOC,68.01675359560366,2.01675359560366,68.01675359560366,13.864860190568221
13,CCCC(C)C(=O)O,62.88132812842029,3.118671871579707,62.88132812842029,30.213334229545403
