rank,smiles,cn,cn_error,ysi,bp,density,lhv,dynamic_viscosity,tanimoto
1,CCCCCC(OCC)OCC,65.693,0.307,55.9462910296038,200.36623343643816,902.7147185924508,33.371389774380525,2.016190694592684,0.65
2,CCCCCCCCCC(=O)OCCCCCC,67.1,1.1,104.94586943111202,225.08086829058868,857.7924957429326,35.35675027538684,4.413183959563132,1.0
3,CCCCCCCCCCOC(=O)CCCC,64.689,1.311,104.88865127456775,230.8813189404944,857.5881312216801,34.9563810362112,3.859622513139008,1.0
4,CCCCOC(=O)CCCCCCCC(=O)OCCCC,68.67,2.67,110.89488084014785,240.28062265566805,939.9985099100676,32.79491352891994,7.69998465910432,1.0
5,CCCCCCCCCCCCO,62.625,3.375,80.51079674448397,248.77261574774263,836.9945501334653,39.558103881766996,12.647345772819177,1.0
6,CCCCCCCCCCCC(=O)OCCCC,69.515,3.515,105.1978945196915,228.9253851953506,857.5045130515729,35.41252387093175,4.317210374146772,1.0
7,CCCCCCCC(OCC)OCC,62.063,3.937,70.94093438916539,240.20621831785456,903.6994821166227,34.620488586840416,2.88366882914037,0.6190476190476191
8,CCCCCCCCCCOC(=O)C,60.992,5.008,89.97817403235139,237.48141971990498,864.7879913476087,34.163846034691524,2.491816918864589,1.0
9,CCCCCCCCCCCCOC(=O)CCCC,71.183,5.183,114.17450677005532,224.52883374513434,857.7004495767144,35.70827662408367,4.911796929402493,1.0
10,CCCCCCOC(CCC)CCC,60.052,5.948,84.50523323388404,234.6523470564737,766.2949205893971,38.753160988682076,2.4384208333217816,0.4583333333333333
11,CCCCCCCCCC(=O)OCCCC,59.314,6.686,87.48301792507397,238.88293568716287,857.500550032168,34.54179895736878,3.454745490939746,1.0
12,CCCCCCCCCCCC(=O)OCCCCCC,74.929,8.929,120.01371996772815,226.85954472222264,857.929829991037,36.078419835607974,5.422143437328199,1.0
13,CCCCCCCCCCCCOC(=O)C,75.615,9.615,93.84333230996097,235.88238149035902,864.372653729319,34.94025969320082,3.478101453316466,1.0
14,CCCCCCCCCCCO,56.313,9.687,72.57187411073254,237.34231900417458,836.9564219045816,39.27035751380349,12.56356432652764,1.0
15,CCCCCCCCCCCCCCOC(=O)CCCC,76.11,10.11,129.21737908837156,229.64580777777817,858.0807858922797,36.378441867742666,5.618972891815209,1.0
16,CCCCCCCCCC(=O)OCCC,55.853,10.147,80.27265703967242,246.58731697189288,857.9362515314812,34.20504508701521,2.8927402752435674,1.0
17,CCCCCCCCCCC(=O)OC,55.568,10.432,79.5784771718331,245.55056435358182,867.679707412321,34.24611241394615,2.6052838881633407,1.0
18,CCCCCCCCOC(C)C(=O)OCC,54.982,11.018,80.47410104344931,245.31593145999477,947.3647575679474,32.491270462812956,4.7636183922137265,0.4838709677419355
19,CCCCCCCCCCCCCC(=O)OCCCCCC,78.695,12.695,138.19988283107023,230.81775119047663,857.9171162261725,36.591182699889615,6.11262158974881,1.0
20,CCCCCCCCCCCCCC(=O)OCCCCCCCC,79.146,13.146,145.68437906994208,246.27555785714333,857.9171162261725,36.69079058955579,8.270730814259473,1.0
21,CCCCCCCCCCCCCCCCOC(=O)CCCC,79.425,13.425,144.1038929329365,240.93722150793698,858.0612806487194,36.636819359806154,6.94023070847726,1.0
22,CCCCOCOCOCCCC,79.686,13.686,47.126812491269625,222.05192861760727,931.8364510904908,32.1483269764973,2.3773636537387035,0.9333333333333333
23,CCCCCCCCCCCC(=O)OCCCCCCCC,79.696,13.696,138.4480535382938,230.318122619048,857.9171162261725,36.560698477503756,6.185500782715009,1.0
24,CCCCCCCCCCOC(=O)CCCCCCCCC,79.839,13.839,138.54423150439547,230.1522654761909,857.8848488029605,36.560698477503756,6.140042636013868,1.0
25,CCCCCCCCC1CCO1,51.771,14.229,80.11172594472293,223.4944019933772,871.0142741590801,36.32039298410088,2.1349787026760656,0.6538461538461539
26,C=COCC1CCC(CC1)COC=C,51.697,14.303,94.84125006769284,237.20460936494288,979.2437592237211,30.568387791093063,5.325131726423651,1.0
27,CCCCCCCCCCCC(=O)OCCCCCCCCCC,80.434,14.434,144.79336603086483,245.84771785714332,857.9171162261725,36.67924700020871,8.153404769748755,1.0
28,CCCCCCCCCCCCCC(=O)OCCCCCCCCCC,80.484,14.484,145.7132025525894,247.87462928571472,857.9171162261725,36.69079058955579,9.549068475899023,1.0
29,CCCCCCCCOC(=O)CCCC,51.276,14.724,86.37652071946462,236.49164500485398,857.6493500668756,33.80094891470298,2.88676322605044,1.0
30,CCCCOCOCOCOCCCC,80.809,14.809,56.45951705561878,238.4760279131199,948.5187780247975,32.05276007392407,3.4698758455691547,0.9333333333333333
31,CCCCCCCCCCCCCCOC(=O)C,81.083,15.083,107.63875635129135,221.77049191738823,864.3607332634713,35.77070993401657,4.467488729922734,1.0
32,CCCCCCCCCCCCOC(=O)CCCCCCCCCCC,81.145,15.145,145.7132025525894,247.75597928571472,857.9171162261725,36.68832242288912,9.51173163715825,1.0
33,CCC(C)CCCC(C)CCCC(C)C,50.582,15.418,114.0477431843557,234.9023091435062,766.3092324022263,44.07440240568194,3.5575056361470447,1.0
34,CCCCCCCCCCCCCCCC(=O)OCCCCCC,81.775,15.775,145.94309285659796,247.06303960317504,857.9171162261725,36.69553768233929,8.280229804775301,1.0
35,CCCC(C)CCCC(C)CCCC(C)C,50.185,15.815,115.04221161793788,247.8833098219128,769.0013756612611,44.071654173215364,4.247797211689649,1.0
36,CCCCCCCCCCO,50.103,15.897,65.9002492502492,227.13096884783107,835.2986568877674,38.82133486100685,11.854423373658065,1.0
37,CCCCCC(CCCCC)OCC,50.087,15.913,85.19167354146485,228.14496319180444,762.6959151931206,38.67587868566293,2.5388951456579574,0.4583333333333333
38,CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC,81.957,15.957,145.73785941699614,247.9888181746036,857.9171162261725,36.69079058955579,10.537516285957052,1.0
39,CCCCCCCCCC(=O)OC,50.026,15.974,70.01894150085647,230.98720169949314,868.2653062712945,33.79083711516119,2.1425721084370335,1.0
40,CCCCCCC1(CC)CCO1,49.979,16.021,88.93431527674748,224.66628385928897,871.2008390565784,36.21664519145981,2.292214959239579,0.34782608695652173
41,CCCCCCCC1OC(C)C(C)O1,49.894,16.106,89.83453289350528,249.11611070916504,932.9964813312507,34.01834182245037,3.7270606937477035,0.4
42,CCCCC1(CCCC)COC1,48.427,17.573,86.43403355815725,207.0038012361221,871.6752411182133,34.650095473064816,2.1362111803563226,0.35714285714285715
43,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,83.75,17.75,143.60640641935024,243.6606238095242,937.0794128237922,36.211839936941644,14.906463791002373,1.0
44,CCCCN(CCCC)CCCC,48.027,17.973,75.35112319372904,210.55925984950414,774.3544971695385,40.271622920306996,2.2384440769803327,0.46153846153846156
45,CCC1CCC(CCCC(C)C)CC1,47.724,18.276,113.89144306685496,228.64894304942274,828.877639425305,43.607581873226664,4.314506698606573,0.4
46,CCCCCCC(CCC)CCC,47.528,18.472,87.87127939716169,227.96497997663533,760.6051995628148,44.07724114071685,2.021686818014578,1.0
47,CCCCCC12CC3CC(CC(C3)C1)C2,47.519,18.481,121.72902290533352,244.79526970492915,842.6878800620648,43.43834638868853,18.616736008934794,1.0
48,CC(C)CCCC1CCC(C)C(C)C1,47.451,18.549,114.8890231550982,226.98975541218283,822.7276669444366,43.582747741049616,4.989017989952369,0.3448275862068966
49,CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC,84.688,18.688,145.761012197128,248.20971817460358,857.9171162261725,36.69553768233929,11.47729578187472,1.0
