rank,name,mixture_cn,mixture_cn_error,mixture_ysi,n_components
148,39.96%n-heptane-60.04%cycloheptane,34.42,32.58,45.381,2
149,39.83%n-heptane-60.17%cyclohexane,34.084,32.916,43.03,2
150,50.0% toluene + 50.0% n-heptane,33.924,33.076,70.813,2
151,40.0% geranial + RFD,33.918,33.082,61.69,3
152,25%n-dodecane-75%iso-butylbenzene,33.844,33.156,94.088,2
153,"88.19%n-hexadecane-11.81%2,2,4,4,6,8,8-heptamethylnonane",100.312,33.312,107.728,2
154,methyl-tetrahydrofuran 50%  + RFD,33.545,33.455,48.552,3
155,51.2% farnesene + RFD,33.401,33.599,84.051,3
156,?-caprolactone 33% + butanol + RFD,33.388,33.612,50.49,3
157,?-hexalactone 33% + butanol + RFD,33.388,33.612,50.49,3
158,?-decalactone 33% + butanol + RFD,33.388,33.612,50.49,3
159,?-caprolactone 33% + butanol + RFD,33.388,33.612,50.49,3
160,methyl-tetrahydrofuran 10% + n-butanol + RFD,33.266,33.734,50.192,4
161,52.2% toluene + 47.8% n-heptane,33.04,33.96,72.285,2
162,37.83%n-heptane-62.17%cyclopentane,32.855,34.145,41.418,2
163,46.97%n-heptane-53.03%toluene,32.718,34.282,72.842,2
164,ethyl levulinate 70% + Heptane,32.636,34.364,36.108,2
165,tetrahydrofuran 50% + RFD,32.573,34.427,42.174,3
166,furfural 10% + n-butanol + RFD,32.294,34.706,49.285,4
167,"5.86%n-hexadecane-94.14%2,2,4,4,6,8,8-heptamethylnonane",32.228,34.772,109.747,2
168,19.93%n-heptane-80.07%decalin,32.133,34.867,92.477,2
169,Dimethylfuran 10% + n-butanol + RFD,32.124,34.876,53.56,4
170,20.1%n-decane-79.9%iso-octane,32.114,34.886,62.339,2
171,20.1%n-decane-79.9%iso-octane,32.114,34.886,62.339,2
172,59.9% farnesene + RFD,32.02,34.98,86.762,3
173,acetylfuran 10% + n-butanol + RFD,31.889,35.111,51.277,4
174,50.0% geranial + RFD,31.861,35.139,62.475,3
175,36.83%n-heptane-49.05%iso-octane-14.12%toluene,31.686,35.314,60.013,3
176,32.55%n-heptane-67.45%iso-octane,31.671,35.329,56.079,2
177,furfuryl alcohol 10% + n-butanol + RFD,31.341,35.659,50.997,4
178,42.02%n-heptane-57.98%toluene,30.793,36.207,76.178,2
179,60.0% geranial + RFD,29.784,37.216,63.194,3
180,20.11%n-heptane-79.89%methylcyclohexane,29.291,37.709,52.957,2
181,7.76%iso-octane-92.24%1-hexene,29.264,37.736,44.844,2
182,37.22%n-heptane-62.78%toluene,28.858,38.142,79.441,2
183,15.92%iso-octane-84.08%1-hexene,28.361,38.639,46.953,2
184,27.91%n-heptane-57.83%iso-octane-14.26%toluene,28.262,38.738,62.158,3
185,19.6%n-decane-80.4%toluene,27.89,39.11,92.883,2
186,Furan 50% + RFD,27.702,39.298,64.498,3
187,21.97%n-heptane-78.03%iso-octane,27.453,39.547,58.527,2
188,24.51%iso-octane-75.49%1-hexene,27.435,39.565,49.052,2
189,20.12%n-heptane-79.88%cyclohexane,27.326,39.674,44.632,2
190,Methylfuran 50% + RFD,27.281,39.719,68.006,3
191,Dimethylfuran 50% + RFD,27.269,39.731,64.767,3
192,32.58%n-heptane-67.42%toluene,26.832,40.168,82.62,2
193,33.56%iso-octane-66.44%1-hexene,26.432,40.568,51.138,2
194,19.83%n-heptane-80.17%cyclopentane,26.179,40.821,42.429,2
195,43.10%iso-octane-56.90%1-hexene,25.364,41.636,53.21,2
196,26.25%n-heptane-34.96%iso-octane-38.80%toluene,25.086,41.914,71.865,3
197,28.07%n-heptane-71.93%toluene,24.477,42.523,85.734,2
198,18.80%n-heptane-66.78%iso-octane-14.41%toluene,24.298,42.702,64.302,3
199,53.19%iso-octane-46.81%1-hexene,24.154,42.846,55.273,2
200,63.87%iso-octane-36.13%1-hexene,22.783,44.217,57.324,2
201,11.12%n-heptane-88.88%iso-octane,22.615,44.385,60.971,2
202,21.59%n-heptane-28.76%iso-octane-49.65%toluene,22.352,44.648,77.376,3
203,19.83%n-heptane-41.08%iso-octane-39.09%toluene,22.282,44.718,73.449,3
204,23.70%n-heptane-76.30%toluene,22.184,44.816,88.774,2
205,15.93%n-heptane-56.59%iso-octane-27.48%toluene,21.647,45.353,69.796,3
206,75.19%iso-octane-24.81%1-hexene,21.294,45.706,59.364,2
207,9.50%n-heptane-75.93%iso-octane-14.57%toluene,20.257,46.743,66.442,3
208,87.21%iso-octane-12.79%1-hexene,19.801,47.199,61.392,2
209,13.32%n-heptane-47.30%iso-octane-39.38%toluene,19.34,47.66,75.027,3
210,14.07%iso-octane-85.93%cyclohexane,18.774,48.226,49.486,2
211,21.91%iso-octane-78.09%cyclohexane,18.386,48.614,51.085,2
212,8.04%n-heptane-64.23%iso-octane-27.73%toluene,18.094,48.906,71.645,3
213,30.39%iso-octane-69.61%cyclohexane,18.017,48.983,52.724,2
214,39.57%iso-octane-60.43%cyclohexane,17.692,49.308,54.399,2
215,67.82%iso-octane-93.22%cyclohexane,17.615,49.385,54.847,2
216,85.49%iso-octane-14.51%cyclohexane,17.585,49.415,61.517,2
217,10.93%n-heptane-38.81%iso-octane-50.26%toluene,17.496,49.504,80.014,3
218,49.55%iso-octane-50.45%cyclohexane,17.437,49.563,56.115,2
219,72.37%iso-octane-27.63%cyclohexane,17.351,49.649,59.673,2
220,60.44%iso-octane-39.56%cyclohexane,17.299,49.701,57.872,2
221,6.71%n-heptane-53.62%iso-octane-39.67%toluene,16.478,50.522,76.601,3
222,87.99%iso-octane-12.01%tetralin,16.178,50.822,68.182,2
223,76.50%iso-octane-23.50%tetralin,14.546,52.454,72.586,2
224,65.51%iso-octane-34.49%tetralin,13.167,53.833,76.656,2
225,54.97%iso-octane-45.03%tetralin,11.985,55.015,80.437,2
226,44.87%iso-octane-55.13%tetralin,10.98,56.02,83.952,2
227,35.18%iso-octane-64.82%tetralin,10.112,56.888,87.228,2
228,25.86%iso-octane-74.14%tetralin,9.349,57.651,90.296,2
229,16.91%iso-octane-83.09%tetralin,8.647,58.353,93.166,2
230,8.29%iso-octane-91.71%tetralin,7.989,59.011,95.864,2
