,MAE_train,MAE_test,RMSE_train,RMSE_test
RandomForest,2.3705535303565566,6.1329344053959165,3.856307966050633,10.075576910117311
XGBoost,0.9977444172481319,5.964328421280919,1.7014765380552537,9.804764088751181
LightGBM,2.021412053257735,6.486806260561978,3.9997780757376202,10.77017635730765
GradientBoosting,5.084557766221913,6.861618205813239,6.662632000570975,10.228669925720867
ExtraTrees,0.24447803528607967,5.4413406452000395,1.2909990318140643,9.708447550886737
HistGradientBoosting,1.9970921101999946,6.3036529563066335,3.734418813689961,10.358266303746088
