smiles,cn,bp,error
CC(=O)CCCCC(=O)O,67.00584762260013,267.25146056601295,0.005847622600128943
COCOCOCOCOCCOCCO,67.02931166253487,294.7426601584617,0.029311662534865945
CCOCOCCOCCOCCO,67.0324525574933,265.737164221836,0.03245255749330056
CCCOC(=O)CCCCCCCCCCOCC,67.05460681502896,314.9322554937363,0.054606815028961364
CC(C)COCOCCOCCOCCO,67.07881170527864,302.32856201697496,0.07881170527863901
CCCCCCCCCC(=O)OCCCCCC,67.09993715800294,297.1402582219323,0.09993715800294467
C(CCC(=O)O)CC(=O)O,67.10015899176115,322.45496208912516,0.10015899176114829
COCCOCCOCCO,66.89412738035799,229.3391301967352,0.10587261964201389
CCCCCCOC(=O)CCCCCCCCC(C)=O,66.88410232975905,346.7359927106635,0.11589767024095465
CCOCCOCCOCCO,67.12426632926201,239.92169145662808,0.12426632926201364
CCCCOCCOC(=O)CCCCCCCCC(C)=O,66.69896034216426,358.0308033285354,0.3010396578357444
CCOCCCCCOC(=O)CCCCCCCCC(C)=O,67.4909516865457,356.461908071661,0.4909516865456993
CCCCCCOC(=O)CCCCCCOCCCC(C)=O,69.51124445011337,350.4154274633813,2.5112444501133666
COCCCCCOC(=O)CCCCCCCCC(C)=O,64.3227430482237,357.0414937312564,2.6772569517763003
CCCCCCOC(=O)CCCCCCCCCC(C)=O,71.40054970157358,354.7151242079698,4.400549701573581
CCCCC(CC)COC(=O)CCCCCCCCC(C)=O,62.3625762251609,351.7384077624022,4.6374237748391
CCCCCCOC(=O)CCCCCOC(=O)CCC(C)=O,60.598988539198096,351.2286949822777,6.401011460801904
CCCCCCOC(=O)CCC(=O)OCCCCCC(C)=O,58.72033599622756,348.7339711907796,8.279664003772439
C=CCCCCCOC(=O)CCCCCCCCC(C)=O,58.03836561232734,356.9700334338337,8.96163438767266
CCCCCCOC(=O)CCCCC=CCCCC(C)=O,51.49244099209329,357.6599126966904,15.507559007906707
