mutations_per_parent,crem_max_size,crem_min_freq,label,run_type,completed_rounds,pop_size,diversity,best_fitness,avg_fitness,pareto_size
3,2,3,mpp=3,sweep,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
3,2,3,mpp=3,sweep,1,115,0.6923113005161445,0.026144074858926558,5.759992803128155,0
3,2,3,mpp=3,sweep,2,114,0.6905673081619029,0.026144074858926558,4.77167138622603,0
3,2,3,mpp=3,sweep,3,105,0.6619857478258672,0.025965965255764445,3.0472271802348505,0
3,2,3,mpp=3,sweep,4,106,0.6260774192067039,0.025965965255764445,3.7847383267368873,0
3,2,3,mpp=3,sweep,5,108,0.6395575208666354,0.025965965255764445,3.542974560541455,0
3,2,3,mpp=3,sweep,6,124,0.618197087786195,0.025965965255764445,3.364574789264591,0
3,2,3,mpp=3,sweep,7,117,0.6213597987670397,0.02087758477631496,2.4782984999660083,0
3,2,3,mpp=3,sweep,8,100,0.6625000370064548,0.02087758477631496,2.5074401871435046,0
5,2,3,default,sweep,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
5,2,3,default,sweep,1,111,0.7288485835324812,0.026144074858926558,5.950441965751849,0
5,2,3,default,sweep,2,103,0.7247738291151297,0.026144074858926558,4.659118833810362,0
5,2,3,default,sweep,3,111,0.6993582902423454,0.026144074858926558,3.1056683445298576,0
5,2,3,default,sweep,4,110,0.6620668391364234,0.021015084958449393,2.7134167615400346,0
5,2,3,default,sweep,5,96,0.6100229558056401,0.021015084958449393,2.6008074544711626,0
5,2,3,default,sweep,6,107,0.6046007287927461,0.021015084958449393,2.315910122962097,0
5,2,3,default,sweep,7,95,0.5549006107138753,0.021015084958449393,2.7858658114235744,0
5,2,3,default,sweep,8,105,0.5754730310698702,0.021015084958449393,2.024944868145563,0
10,2,3,mpp=10,sweep,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
10,2,3,mpp=10,sweep,1,104,0.7345586819718212,0.026144074858926558,6.6105424279577285,0
10,2,3,mpp=10,sweep,2,112,0.7371179675630876,0.026144074858926558,5.190794294654716,0
10,2,3,mpp=10,sweep,3,105,0.6943702511493225,0.026144074858926558,4.541743090469919,0
10,2,3,mpp=10,sweep,4,105,0.6340085017344326,0.026144074858926558,3.547215831438437,0
10,2,3,mpp=10,sweep,5,98,0.6083820869108836,0.025965965255764445,2.5416863593287875,0
10,2,3,mpp=10,sweep,6,110,0.6371822897721301,0.014987438358296856,3.198109855593536,0
10,2,3,mpp=10,sweep,7,111,0.5634816817411146,0.014987438358296856,2.619060218754006,0
10,2,3,mpp=10,sweep,8,114,0.5654445279360195,0.004569382350744888,2.7986506685498,0
5,1,3,size=1,sweep,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
5,1,3,size=1,sweep,1,110,0.7230494844566985,0.026144074858926558,5.663073513355225,0
5,1,3,size=1,sweep,2,103,0.6967740120501372,0.021015084958449393,4.649562486848767,0
5,1,3,size=1,sweep,3,95,0.654032120068725,0.021015084958449393,3.5551117252522215,0
