gen,best_cn,mean_cn,best_ysi,mean_ysi,pareto_size,pop_size
1,63.25606040463773,50.01431975958563,95.05058131458328,105.36037175106466,3,447
2,63.31601242193276,55.061705308838164,94.78761719390322,103.23624423086359,4,142
3,63.31601242193276,56.03790392897844,94.77450918688331,102.23593831502681,6,142
4,63.60808737106488,58.08811577124455,93.94732791699195,101.87987300863026,7,129
5,63.62006722670979,59.35108479117584,93.94732791699195,101.75845003363773,12,129
6,64.97787995051272,60.23840215380554,93.94732791699195,101.35212600755749,3,122
7,65.19880391654107,60.36703066450518,93.94732791699195,100.14914512284858,5,121
8,65.5344810679475,61.1425558044987,93.94732791699195,99.45090540063096,6,122
9,65.5344810679475,60.23377839548783,93.94732791699195,97.18891148153271,3,127
10,65.5344810679475,60.78351064679444,93.94732791699195,96.69812386615668,3,122
11,65.5344810679475,60.67181139759243,93.94732791699195,96.41007035289634,3,118
