Feature_Name,Feature_Type,Importance,Original_Index
Morgan_Bit_1218,Morgan,9.659227755970806e-05,1218
Morgan_Bit_598,Morgan,9.492203587876767e-05,598
Morgan_Bit_1544,Morgan,9.48339429223881e-05,1544
Morgan_Bit_310,Morgan,9.33303307420041e-05,310
Morgan_Bit_963,Morgan,8.88989965388984e-05,963
Morgan_Bit_29,Morgan,8.819603272474213e-05,29
Morgan_Bit_729,Morgan,8.325953845659687e-05,729
Morgan_Bit_508,Morgan,8.094220144354594e-05,508
Morgan_Bit_222,Morgan,7.608721082430732e-05,222
Morgan_Bit_1536,Morgan,6.370275158618533e-05,1536
SlogP_VSA1,Descriptor,6.240655461096728e-05,2095
Morgan_Bit_195,Morgan,6.14870434245021e-05,195
Morgan_Bit_940,Morgan,6.06829071246786e-05,940
Morgan_Bit_1550,Morgan,5.668710916452033e-05,1550
Morgan_Bit_1824,Morgan,5.538333024032371e-05,1824
Morgan_Bit_205,Morgan,5.533070908396847e-05,205
Morgan_Bit_473,Morgan,5.349030855827187e-05,473
Morgan_Bit_1722,Morgan,4.9485776971172044e-05,1722
Morgan_Bit_1187,Morgan,4.914961613073652e-05,1187
Morgan_Bit_898,Morgan,4.890351445052694e-05,898
Morgan_Bit_749,Morgan,4.637253645506021e-05,749
Morgan_Bit_1152,Morgan,4.524988296468348e-05,1152
Morgan_Bit_599,Morgan,3.988047645202104e-05,599
Morgan_Bit_1308,Morgan,3.9610638807173644e-05,1308
Morgan_Bit_1927,Morgan,3.681124424763526e-05,1927
Morgan_Bit_1607,Morgan,3.3940433069311434e-05,1607
Morgan_Bit_1436,Morgan,3.189624342116973e-05,1436
Morgan_Bit_937,Morgan,2.815475753699588e-05,937
Morgan_Bit_1349,Morgan,2.3190614285108433e-05,1349
Morgan_Bit_587,Morgan,2.3007995847532785e-05,587
Morgan_Bit_208,Morgan,2.1634121278931616e-05,208
Morgan_Bit_1420,Morgan,1.9625073102579595e-05,1420
Morgan_Bit_892,Morgan,1.9384673723294936e-05,892
Morgan_Bit_1142,Morgan,1.8603125155719628e-05,1142
Morgan_Bit_2,Morgan,1.7136004036181467e-05,2
Morgan_Bit_1328,Morgan,1.5850000764085954e-05,1328
Morgan_Bit_479,Morgan,1.5585765938205975e-05,479
Morgan_Bit_1490,Morgan,1.2590107050301154e-05,1490
Morgan_Bit_1271,Morgan,1.1940207815001723e-05,1271
Morgan_Bit_1369,Morgan,1.1930561520116831e-05,1369
Morgan_Bit_1403,Morgan,6.618729409837981e-06,1403
Morgan_Bit_1357,Morgan,5.287174707192749e-06,1357
Morgan_Bit_722,Morgan,2.969825114777323e-06,722
Morgan_Bit_783,Morgan,1.0518280743335876e-06,783
Morgan_Bit_550,Morgan,0.0,550
Morgan_Bit_1690,Morgan,0.0,1690
Morgan_Bit_899,Morgan,0.0,899
Morgan_Bit_179,Morgan,0.0,179
Morgan_Bit_616,Morgan,0.0,616
Morgan_Bit_1944,Morgan,0.0,1944
Morgan_Bit_821,Morgan,0.0,821
Morgan_Bit_132,Morgan,0.0,132
Morgan_Bit_1955,Morgan,0.0,1955
Morgan_Bit_585,Morgan,0.0,585
Morgan_Bit_1590,Morgan,0.0,1590
Morgan_Bit_478,Morgan,0.0,478
Morgan_Bit_1140,Morgan,0.0,1140
Morgan_Bit_1640,Morgan,0.0,1640
