rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
31,CCCCCCCCCCC(CCCCCC)CCCOCCCCC,77.11127696073349,26.11127696073349,77.11127696073349,123.77234011668892,True,OK,False,100.0,77.11127696073349,0.3,0.0376751518149524,True,123.77234011668892,303.0333589235328,793.801190080734
32,C=CCCCCCCCCCCCCCCCCCCCCCCC(CC)CC,76.97858756909618,25.978587569096177,76.97858756909618,124.34826040862967,True,OK,False,100.0,76.97858756909618,0.3,0.020313853739359344,True,124.34826040862967,316.3554146588456,799.150155219743
33,C#CCCCCCCCCCCC(CCCCCC)CCCCCCCC,76.95292965973853,25.95292965973853,76.95292965973853,123.71703835735565,True,OK,False,100.0,76.95292965973853,0.3,0.0033122840959121103,True,123.71703835735565,305.8156957006728,798.0603245502982
34,CCCCCCCCCC(CCCCCCC)CCCOCCCCC,76.89356761684472,25.89356761684472,76.89356761684472,123.5642770755185,True,OK,False,100.0,76.89356761684472,0.3,0.037468651717027734,True,123.5642770755185,303.0333589235328,793.801190080734
35,CCCCCCCCCCCCCCCCCCCOC,76.77180435422515,25.771804354225154,76.77180435422515,118.57890055660691,True,OK,False,100.0,76.77180435422515,0.3,0.05928750774676994,True,118.57890055660691,277.59808613172856,795.4115086669403
36,CCCCCCCCCCC(CCCCCC)CCCCOCCC,76.61765086411071,25.617650864110715,76.61765086411071,123.29197202137215,True,OK,False,100.0,76.61765086411071,0.3,0.041774860435623395,True,123.29197202137215,297.99587068475057,793.5700350358915
37,CCCCCCCCCCC(CCCCC)CCCOCCCCC,76.50593720715837,25.505937207158368,76.50593720715837,123.26877660327294,True,OK,False,100.0,76.50593720715837,0.3,0.04737282440064183,True,123.26877660327294,297.99133804006374,794.3137801200581
38,CCCCCCCCCC(CCCCCC)CCCOCCCCC,76.3408080133,25.340808013300006,76.3408080133,122.98343732835997,True,OK,False,100.0,76.3408080133,0.3,0.04499566254067966,True,122.98343732835997,297.99133804006374,794.3137801200581
39,CCC(CC)CCCCCCCCCCCCCCCCCCCCC(C)C,76.27468025085771,25.274680250857713,76.27468025085771,124.08730852883038,True,OK,False,100.0,76.27468025085771,0.3,0.03453884325665979,True,124.08730852883038,312.13565197845196,799.802844187792
40,CCCCCCCCCCCCCCCCCCOC,75.90951984951847,24.909519849518475,75.90951984951847,115.39137326834427,True,OK,False,100.0,75.90951984951847,0.3,0.0690811856119744,True,115.39137326834427,272.45012583439825,796.063825223377
41,CCCCCCCCCC(CCCCCC)CCCOCCCC,75.59116466999764,24.59116466999764,75.59116466999764,122.19894126890676,True,OK,False,100.0,75.59116466999764,0.3,0.05046652144248631,True,122.19894126890676,292.9296195029343,794.422338036361
42,CCCCCCCC(C)CCCCCCCCCCCOC,73.17471988227975,22.174719882279746,73.17471988227975,119.67289553933833,True,OK,False,100.0,73.17471988227975,0.3,0.08964850761656329,True,119.67289553933833,282.72461473465523,794.7207152520001
43,CCCCCCCCCCCCCCC(C)CCCOC,73.0920116592821,22.092011659282093,73.0920116592821,117.37285801898753,True,OK,False,100.0,73.0920116592821,0.3,0.09560738113285505,True,117.37285801898753,277.5909369652875,795.2095915495858
44,CCCCCCCCCCCCC(CCCCCC)CCCCCC(C)(C)C,72.82427016565227,21.824270165652266,72.82427016565227,124.05907832302968,True,OK,False,100.0,72.82427016565227,0.3,0.025512306090779258,True,124.05907832302968,312.14684794014624,799.4016538489489
45,C#CCCCC=CCCCCCCC(CCCCCC)CCCCCCCC,72.01539205641271,21.015392056412708,72.01539205641271,124.01918259031677,True,OK,False,100.0,72.01539205641271,0.3,0.045146138253069124,True,124.01918259031677,310.02641956811283,799.2791206661591
46,CCCCCCCCCC=CCCCCCCCCCCCCCC(CC)CC,71.77791997645886,20.77791997645886,71.77791997645886,124.21852798692069,True,OK,False,100.0,71.77791997645886,0.3,0.07571224573022861,True,124.21852798692069,316.3558903883892,799.1375706440472
47,CCCCCCCCCOCCCC,68.8616561188746,17.861656118874606,68.8616561188746,98.03604219097618,True,OK,False,100.0,68.8616561188746,0.3,0.16064269499243955,True,98.03604219097618,240.88310191403184,798.5372729092985
48,CCCCCCOCCCCC,67.69267985586944,16.692679855869443,67.69267985586944,94.27621107464621,True,OK,False,100.0,67.69267985586944,0.3,0.18789917938614797,True,94.27621107464621,230.11658149900637,799.702083269837
49,CCCCCCCCOCCCC,67.43838963794948,16.438389637949484,67.43838963794948,95.56026911993628,True,OK,False,100.0,67.43838963794948,0.3,0.1749920303509911,True,95.56026911993628,235.48979679379823,798.8578637335471
50,CCCCCCCOCCCC,67.12596443950773,16.125964439507726,67.12596443950773,94.21639566208587,True,OK,False,100.0,67.12596443950773,0.3,0.1897216426096635,True,94.21639566208587,230.11377082907103,799.6784311309693
