gen,best_cn,mean_cn,best_ysi,mean_ysi,pareto_size,pop_size
1,106.57164040118869,42.22917495612834,10.76021200798954,85.3978081710402,10,364
2,106.57164040118869,64.3136205498604,10.76021200798954,82.0587462818234,10,110
3,106.57164040118869,60.63384912301763,10.76021200798954,77.07102803510053,11,131
4,106.57164040118869,61.71229271961453,10.76021200798954,73.006354543249,11,98
5,106.57164040118869,62.746834994443574,10.76021200798954,71.8835963525303,11,95
6,106.57164040118869,58.801320194639636,10.76021200798954,69.22019477386307,11,94
7,106.57164040118869,59.5831303442922,10.76021200798954,71.61408161758318,11,101
8,106.57164040118869,59.382992656081015,10.76021200798954,69.68244502511841,11,101
9,106.57164040118869,62.217586102822764,10.76021200798954,75.08557409802721,11,104
10,106.57164040118869,63.657912520417774,10.76021200798954,78.30150859770775,11,98
11,106.57164040118869,60.10411375030908,10.76021200798954,74.06290160290605,11,109
12,106.57164040118869,62.693781727020045,10.76021200798954,75.7345880003363,11,106
13,106.57164040118869,62.66243816342792,10.76021200798954,78.77817093723804,11,104
14,106.57164040118869,62.02103229499282,10.76021200798954,72.89863835310973,11,105
15,106.57164040118869,58.811208496467785,10.76021200798954,71.85806682828976,11,116
16,106.57164040118869,64.14513815675912,10.76021200798954,75.93381417929889,11,95
