smiles,cn,error
CCCCCCCCCCC(=O)O,45.02183733522439,0.02183733522439013
CCCCCCCCCCC=CC(=O)O,44.95847184679621,0.04152815320379233
CCCCCC,44.9136639082798,0.08633609172019874
CC=CCCCCCCCCC(=O)O,44.886466350229334,0.11353364977066605
CCCCC=C(C)C,45.12834853331817,0.1283485333181673
CC#CC,44.84883140682178,0.15116859317821962
CCCCCCCC(C)=O,45.15769076392823,0.15769076392822967
CCCCCCCC(=O)C,45.15769076392824,0.15769076392823678
CC(C)CCCC(C)=C,44.81493943187328,0.18506056812672256
CC(C)CCCC(=C)C,44.81493943187328,0.18506056812672256
C=C(C)CCCC(C)C,44.81493943187326,0.18506056812673677
C=C=CCCCCCCCCC(=O)O,45.23616111023059,0.23616111023059005
CCCCCC(=O)CCCCC,44.76287492095743,0.23712507904257052
CCCCCCCCCCCCC(=O)O,45.257402973954385,0.2574029739543846
CCCC1CCCCC1,45.26946714397774,0.2694671439777423
CCCCCCCCCCC(C)=CC(=O)O,46.88580895061095,1.8858089506109508
C=CCCCCCCCCCC(=O)O,48.95636902492489,3.9563690249248893
CCCCCCCCC=CC=CC(=O)O,36.41061448503126,8.58938551496874
