SMILES,EX_Boiling Point
CCC(C)C(C)C,89.8
CC(=C)CC(C)(C)C,101.3
CC(=CC(C)(C)C)C,104.9
CCC(C)(C)CC(C)C,130.6
COCOCOCOCOCOCOC,280.0
COCOCOCOCOCOC,242.0
COCOCOCOCOC,202.0
COCOCOCOC,156.0
COCOCOC,105.0
CC(C)CC(=C)C,81.6
CC(C)C=C(C)C,83.3
CC(C)C(C(C)C)C(C)C,157.0
CC(=O)CC(=O)C,140.7
CC(C)C(C(C)C)O,142.0
CC(C)C(=O)C(C)C,125.2
CCC(C)CC(C)C,109.4
CCCCC(C)CC(C)C,154.0
CC(C)CC(C)C,80.4
CCCC(C)CCC(C)C,157.0
CC(C)CC=C(C)C,113.0
CC(=CC=C(C)C)C,135.2
CC(CCC(C)O)O,229.0
CC(=O)CCC(=O)C,194.0
CC1=CC=C(O1)C,96.0
CC(C)CCC(C)C,109.1
COC1=C(C(=CC=C1)OC)O,261.0
CC(C)CC(=O)CC(C)C,157.0
CC(C)CCCC(C)C,135.0
CC1=CC2=C(C=C1)C=C(C=C2)C,253.0
CCC(C)CCCC(C)C,158.0
CC(C)CCCCC(C)C,160.0
CCCOCCOCCO,214.8
COCCOCCO,194.0
C=COCCO,139.0
CC=CC,3.72
CCCCOCCOC(=O)C,191.1
CCCCCCC(CCCC)CO,248.0
CC#CC,27.1
CCC(C)(C)OCC,101.5
CCOCCOC(=O)C,156.6
CCOC(C)C,54.0
CCCC(C(CC)CO)O,243.0
CCC(=C)C(C)C,86.3
CCC(CC)C=O,118.0
CCCCCC(=O)C,151.0
CCCCC=CC,97.0
CCCCC#CC,113.6
CC(COC(=O)C(=C)C)O,90.0
CC(COC(=O)C=C)O,70.0
COC1=CC=CC=C1C=O,243.0
CC(=O)OCCOC,142.0
CC(=C)CCC=C,88.0
CCC(=C)C,31.1
CCCCCCC(=C)C,144.0
CC(CC(C)(C)O)O,197.9
CCCC=C(C)C,95.0
CCC(CC)C(C)C,115.6
CCC=CC(C)C,88.0
CC1=CC=CC=C1C(=O)O,259.5
CCCCCCCCC(C)C,189.2
CCCCC(C)C(=O)O,214.0
CCCCCCC(C)C(=O)O,138.0
CCCC(C)C(=O)O,195.0
CC(C)C,-11.7
CC(=C)C,-7.0
CCCCCCCCCC(C)C,211.0
CCCCCCCC(=O)C,194.0
CCCCCCC(=O)C,173.0
C=CC(=O)O,142.0
C=CCO,96.9
CCCCCC(=O)OCC=C,186.0
CCCCCCCCCC(=O)C,233.1
CCC(C)O,99.4
CCC(=O)C,79.6
CC=CCO,123.0
CCCCOCCO,171.0
C1CCC(C1)CC(=O)O,228.0
CCCCCCCCC(=O)C,211.0
CCOCCO,134.7
CCOCCOCCOCC,185.0
CCC1CCCO1,107.0
CCC1=C(C=CC=C1C)C,190.0
CCC1=C(C=CC(=C1)C)C,186.0
CCC(CC)CO,155.0
CCC(=C)CC,64.7
CCCCC(CC)CO,186.2
CCCC(=C)CC,94.0
CCC(CC)C(=O)O,193.0
CCC1=CC=CO1,92.0
CCCCC(CC)C(=O)O,227.5
CCC1=CC2=CC=CC=C2C=C1,259.0
C1=COC(=C1)CO,168.0
CCCCCC(C)O,159.0
CCCCC(=O)C,127.6
CC(C)OCCO,141.6
COCCO,124.3
CC1CCCO1,80.0
CC(=C)C=C,34.0
CCC(C)CO,129.0
CCCCCC(=C)C,119.0
CCCCC(=C)C,92.0
CCCC(C)CO,157.0
CCCC(=C)C,62.1
CC(C)CO,107.84
CCC(C)(C)O,102.4
CC=C(C)C,38.5
CCCCC=C(C)C,122.0
CCCCC(C)(C)O,142.0
CCCC(C)(C)O,121.0
CCC=C(C)C,67.3
CC(C)(C=C)O,99.3
CCCC(=O)C(C)C,134.0
CCC(=O)C(C)C,118.0
CC1=CC=CC=C1C2=CC=CC=C2,258.0
CCC(C)C,27.83
CC1=CC=CO1,63.9
CCCCCC(C)C,117.6
CCCCC(C)C=O,141.0
CCCCC(C)C,90.0
CC1=CC2=CC=CC=C2C=C1,241.1
CCCCCCCC(C)C,167.0
CCCCCCC(C)C,143.0
CCCC(C)C=O,118.0
CCCC(C)C,60.21
CC(=C)C(=O)O,160.0
CC(C)C(=O)OC(=O)C(C)C,183.0
CCCCCCCC(C)O,193.5
CCCCCC=CC,125.6
CCCCCC#CC,138.0
CCCC(C)O,119.1
CCCC(=O)C,102.2
CCC=CC,36.9
CCC#CC,56.0
CC(C)O,82.21
CC(=O)C,56.08
CCC(C)C(C)(C)CC,139.0
CCC(C)CC(C)(C)CC,157.0
CC1CC(=O)CC(C1)(C)C,189.0
CCCCC(C)(C)CC,137.0
CCC(CC)(CC)CC,146.2
CCC(C)(C)C=C,77.0
CC(C)(C)C=C,41.24
CC(=O)C(C)(C)C,106.1
CCCC(C)(C)CC,111.9
CCC(C)(C)CC,86.0
CC(C)C(C)C=C,82.0
C1CC=COC1,85.5
CCC(C)C(C)CC,117.7
CC(C)CCCC(C)CCO,224.0
CCOCCC=O,135.2
CCC(CC)C=C,84.0
CCC(C(C)C)C(C)C,123.0
CCC(CC)C(=C)C,109.2
CCC(=CC)CC,95.0
CCC(C)C(CC)CC,140.0
CCCCC(CC)CC,143.1
CCCC(CC)CC,118.5
CCCCCC(CC)CC,165.0
CCCC=CCC,96.0
CCCC#CCC,109.2
CCC=CCC,66.4
CC(C)C=C,20.1
CCCC(=CC)C,97.0
CC(=C)C(=O)C,97.0
CCC(C)(CC)CC,118.2
CCC=C(C)CC,95.3
CC(C)CCOC(=O)C,141.6
CC1CCC=C1,65.0
CC1=COC=C1,66.0
CCCCCCC(C)CC,168.0
CCCCCC(C)CC,144.0
CCCCCCCCC(C)CC,212.0
C1CC(CC=C1)C=O,164.0
CCCCCCCC(=O)CC,212.0
CCC(CC)(CC)O,142.0
CCC(CC)CC,93.4
CCCCC(CC)O,163.0
CCCCC(=O)CC,146.0
CCCC(=O)CC,123.5
CC(C)CCO,130.8
CCCC(C)C=C,84.0
CC(C)C(C)O,113.7
CC(C)C(=O)C,94.2
CCC(C)C(C)O,142.0
CCC(=CC)C,70.4
CC1=CC(=CC=C1)C2=CC=CC=C2,274.0
CC(C)C#C,28.0
CC(C)CC=O,92.5
CCCCC(C)CC,118.9
CCCC(C)CC=O,145.0
CCCC(C)CC,92.0
CCC(C)CC,63.3
CCCCCCC(=O)CC,187.0
CCCCCC(CC)O,184.0
CCCCCC(=O)CC,166.0
CCCCC#CCC,135.6
CCC(CC)O,123.0
CCC(=O)CC,101.9
CC(C)(C)CC=C,72.5
CC=CC(C)(C)C,76.7
CC(=O)CC(C)(C)C,124.0
CCCCCCC(=O)CCC,206.5
CCC(CC)CC(C)C,134.0
CCCCC(CC)CCC,163.0
COC1=CC=C(C=C1)C=O,255.0
CC(=CC=C)C,76.0
CCC(C)C=CC,86.0
CC(C)CC(=O)C,115.7
CC=CC(C)C,56.4
CC1=CC=C(C=C1)C=O,202.0
CC1CC=CC1,68.0
CCCCCC(C)CCC,166.0
CCCCC(C)CCC,142.0
CC(=CC(=O)C)C,129.7
CCCCC(=O)CCC,166.0
CCC1=CC(=C(C=C1)O)OC,236.5
CCCC(CCC)O,161.0
CCCC(=O)CCC,144.0
CC(=O)CC(C)(C)O,167.9
CC1=CC=C(C=C1)OC,175.0
CC1=CC(=C(C=C1)O)OC,217.0
CC1CCC=CC1,71.8
CCC(C)CC=C,87.0
CC(C)CCCO,151.0
CC(C)CC=C,54.0
CC(C)CC(C)O,132.0
CC1=CC=C(C=C1)C2=CC=CC=C2,273.0
CCCC(C)CCC,117.7
CCCCCC(CCC)O,192.5
CCCCCC(=O)CCC,188.0
CCCCC(CCC)O,176.3
CCCC#CCCC,133.5
CCCC1=CC=C(C=C1)O,232.0
CCCC1=CC=C(C=C1)OC,211.5
CCCC1=CC(=C(C=C1)O)OC,121.0
C=CC1CCC=CC1,130.0
CC(=O)CCC=C,129.1
CC(C)CCCCO,170.0
CC(C)CCC=C,85.0
CC(C)CCC(=O)C,139.0
CC=CCC(C)C,89.0
CCCCC(C)CCCC,164.0
CC(C)CCC(C)O,151.0
CCC(C)CC(=O)CC,159.0
CCCCC(=O)CCCC,188.4
CC(C)CCCC=C,113.0
CCCCCC(=O)CCCCC,227.4
CC(C)CCCCC=C,139.0
CC=O,20.8
CC(=O)O,117.9
C#C,-84.7
C(CCC(=O)O)CC(=O)O,337.5
CC(=O)OCC=C,104.0
C(CCCC(=O)O)CCCC(=O)O,357.1
C1=CC=C(C=C1)C=O,178.7
C1=CC=C(C=C1)CC=O,202.0
C1=CC=C(C=C1)CC(=O)O,268.0
C1=CC=C(C=C1)CCO,220.0
C1=CC=C(C=C1)CO,205.3
CC(=O)C=C,81.0
CCCCOC(=O)C=C,146.6
CCCCOC(=O)C,126.0
CCCCOC(=O)C1=CC=CC=C1,249.0
CCCCOCC,89.0
CCCCOC1=CC=CC=C1,210.0
C1CCC1,12.5
C1CCCC(=O)CC1,180.4
C1CCC(=O)CC1,155.4
C1CCC=CC1,82.9
C1CCC(C1)O,140.4
C1CCC(=O)C1,130.5
C1CC1,-31.0
CCCCCCCCCC(=O)O,270.0
CCCCCCCCCCOC(=O)C,249.0
C=CCOCC=C,94.0
C1=CC=C(C=C1)COCC2=CC=CC=C2,298.0
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,338.0
CCCCOC(=O)C=CC(=O)OCCCC,281.0
CCCCOCCOCCOCCCC,255.0
CCOCCOCCO,202.0
CCOCCOCCOC(=O)C,218.0
CCCCCCOCCCCCC,220.0
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,210.0
