source_paper,fuel_name,is_biodiesel,fuel_type,feedstock_type,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,CIN_injection_timing_CAD_BTDC,CIN_ignition_delay_CAD,CIN_indicated_thermal_efficiency,CIN_injection_duration,CIN_peak_pressure_bar,CIN_peak_HRR_J_deg,CIN_max_average_temp_K,CIN_NOx_ppm,CIN_CO_ppm,CIN_THC_ppm,CIN_particulate_mass_mg_m3,CIG_ignition_timing_CAD_BTDC,CIG_ignition_delay_CAD,CIG_indicated_thermal_efficiency,CIG_injection_duration,CIG_peak_pressure_bar,CIG_peak_HRR_J_deg,CIG_max_average_temp_K,CIG_NOx_ppm,CIG_CO_ppm,CIG_THC_ppm,CIG_particulate_mass_mg_m3,2_EHN_dosage_ppm,CID_injection_timing_CAD_BTDC,CID_ignition_timing_CAD_BTDC,CID_ignition_delay_CAD,CID_indicated_thermal_efficiency,CID_injection_duration,CID_peak_pressure_bar,CID_peak_HRR_J_deg,CID_max_average_temp_K,CID_NOx_ppm,CID_CO_ppm,CID_THC_ppm,CID_particulate_mass_mg_m3
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",3-heptanone,,,Ketone,421.0,,,818.0,0.75,,36.0,,Compression Ignition,1200,600,,7.5,6.9,28.5,,,167.6,1506.0,1425.0,,,0.0100403264988825,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",5-nonane,,,Ketone,462.6,,,826.0,,,38.0,,Compression Ignition,1200,600,,7.5,5.9,41.3,,,131.0,1467.0,1128.7,,,0.0174390243902439,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",ethyl levulinate,,,Levulinate,480.0,,,1016.0,,,24.0,,Compression Ignition,1200,600,,7.5,8.0,44.3,,,132.4,1548.0,1300.0,,,0.0149727917597901,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",butyl levulinate,,,Levulinate,514.0,,,974.0,,,28.0,,Compression Ignition,1200,600,,7.5,7.4,33.7,,,177.4,1516.0,1393.0,,,0.0103143523467107,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",ethyle valerate,,,Valerate,420.0,,,875.0,8.47,,31.0,,Compression Ignition,1200,600,,7.5,7.8,44.0,,,168.0,1529.0,1394.7,,,0.0151098046837042,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",butyl valerate,,,Valerate,462.0,,,868.0,,,33.0,,Compression Ignition,1200,600,,7.5,7.2,47.9,,,165.6,1502.0,1316.0,,,0.0140137012923914,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",pentyl valerate,,,Valerate,481.0,,,865.0,,,34.0,,Compression Ignition,1200,600,,7.5,6.6,49.1,,,152.2,1496.0,1289.4,,,0.0129175979010786,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",Octane,,,Alkane,399.0,,,699.0,0.51,,,,Compression Ignition,1200,600,,7.5,4.50815604104838,,,,,,839.376660904564,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",Nonane,,,Alkane,424.0,,,715.0,0.67,,,,Compression Ignition,1200,600,,7.5,4.25240461973039,,,,,,786.902396862664,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",Decane,,,Alkane,447.0,,,728.0,0.86,,,,Compression Ignition,1200,600,,7.5,3.89328136732577,,,,,,777.683892773291,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",Undecane,,,Alkane,469.0,,,737.0,1.1,,,,Compression Ignition,1200,600,,7.5,3.84432366717917,,,,,,764.703681725534,,,,,,,,,,,,,,,,,,,,,,,,,,,
