test_type,result_id,test_id,peak_pressure_bar,peak_HRR_J_deg,max_average_temp_K,NOx_ppm,CO_ppm,THC_ppm,particulate_mass_mg_m3,fuel_id,engine_id,injection_timing_CAD_BTDC,ignition_delay_CAD,indicated_thermal_efficiency,injection_duration,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,fuel_name,fuel_type,feedstock_type,is_biodiesel,source_id,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,ignition_timing_CAD_BTDC
constant_injection_timing,28,28,,,,,,,,28,3,7.5,11.1,,778.0,fd-rh diesel,1200.0,450.0,4.09,41.2% farnesene,terpene and reference diesel blend,,Y,2,,,,,,,,,
constant_injection_timing,29,29,,,,,,,,29,3,7.5,7.5,,636.0,fd-rh diesel,1200.0,450.0,4.09,7.8% geranial,terpene and reference diesel blend,,Y,2,,,,,,,,,
constant_injection_timing,30,30,,,,,,,,30,3,7.5,7.5,,640.0,fd-rh diesel,1200.0,450.0,4.09,10.0% geranial,terpene and reference diesel blend,,Y,2,,,,,,,,,
constant_injection_timing,31,31,,,,,,,,31,3,7.5,7.9,,635.0,fd-rh diesel,1200.0,450.0,4.09,20.3% geranial,terpene and reference diesel blend,,Y,2,,,,,,,,,
constant_injection_timing,32,32,,,,,,,,32,3,7.5,8.9,,644.0,fd-rh diesel,1200.0,450.0,4.09,40.0% geranial,terpene and reference diesel blend,,Y,2,,,,,,,,,
constant_injection_timing,33,33,,,,,,,,33,3,7.5,9.9,,658.0,fd-rh diesel,1200.0,450.0,4.09,50.0% geranial,terpene and reference diesel blend,,Y,2,,,,,,,,,
constant_injection_timing,34,34,,,,,,,,34,3,7.5,10.1,,677.0,fd-rh diesel,1200.0,450.0,4.09,60.0% geranial,terpene and reference diesel blend,,Y,2,,,,,,,,,
constant_injection_timing,35,35,,,,,,,,35,1,7.5,7.1,42.67,655.0,fd-rh diesel,1200.0,450.0,4.0,n-heptane,alkane,,N,3,371.6,182.6,,684.06,0.41,,44.5,54.4,
constant_injection_timing,36,36,,,,,,,,36,1,7.5,7.3,42.95,644.0,fd-rh diesel,1200.0,450.0,4.0,5.0% toluene/95.0% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,37,37,,,,,,,,37,1,7.5,7.5,42.75,658.0,fd-rh diesel,1200.0,450.0,4.0,10.1% toluene/89.9% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,38,38,,,,,,,,38,1,7.5,8.1,42.84,650.0,fd-rh diesel,1200.0,450.0,4.0,25.0% toluene/75.0% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,39,39,,,,,,,,39,1,7.5,8.7,43.28,642.0,fd-rh diesel,1200.0,450.0,4.0,35.0.0% toluene/65.0% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,40,40,,,,,,,,40,1,7.5,8.9,44.09,628.0,fd-rh diesel,1200.0,450.0,4.0,35.1% toluene/64.9% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,41,41,,,,,,,,41,1,7.5,9.3,43.21,638.0,fd-rh diesel,1200.0,450.0,4.0,40.0% toluene/60.0% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,42,42,,,,,,,,42,1,7.5,9.9,41.93,658.0,fd-rh diesel,1200.0,450.0,4.0,46.3% toluene/53.7% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,43,43,,,,,,,,43,1,7.5,10.7,39.31,717.0,fd-rh diesel,1200.0,450.0,4.0,50.0% toluene/50.0% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,44,44,,,,,,,,44,1,7.5,6.3,43.85,635.0,fd-rh diesel,1200.0,450.0,4.0,n-heptane,alkane,,N,3,371.6,182.6,,684.06,0.41,,44.5,54.4,
constant_injection_timing,45,45,,,,,,,,45,1,7.5,6.3,43.74,622.0,fd-rh diesel,1200.0,450.0,4.0,10.0% toluene/90.0% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,46,46,,,,,,,,46,1,7.5,6.1,43.67,622.0,fd-rh diesel,1200.0,450.0,4.0,19.8% toluene/80.2% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,47,47,,,,,,,,47,1,7.5,6.1,43.77,620.0,fd-rh diesel,1200.0,450.0,4.0,30.9% toluene/69.1% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,48,48,,,,,,,,48,1,7.5,6.3,43.65,639.0,fd-rh diesel,1200.0,450.0,4.0,40.0% toluene/60.0% n-heptane,toluene and n-heptane blend,,N,3,,,,,,,,,
constant_injection_timing,49,49,,,,,,,,49,1,7.5,7.1,42.7,617.0,fd-rh diesel,1200.0,450.0,4.0,reference fossil diesel,diesel,,N,3,541.9,,,834.5,,,43.14,51.7,
constant_injection_timing,50,50,,,,,,,,50,1,7.5,6.5,42.12,615.0,fd-rh diesel,1200.0,450.0,4.0,n-octane,alkane,,N,3,398.9,216.3,,702.8,0.546,,44.79,64.1,
constant_injection_timing,51,51,,,,,,,,51,1,7.5,6.5,42.27,616.0,fd-rh diesel,1200.0,450.0,4.0,10.0% 1-octene/90.0% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
constant_injection_timing,52,52,,,,,,,,52,1,7.5,6.9,42.3,617.0,fd-rh diesel,1200.0,450.0,4.0,25.0% 1-octene/75.0% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
constant_injection_timing,53,53,,,,,,,,53,1,7.5,7.3,41.84,619.0,fd-rh diesel,1200.0,450.0,4.0,50.0% 1-octene/50.0% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
constant_injection_timing,54,54,,,,,,,,54,1,7.5,7.3,42.09,617.0,fd-rh diesel,1200.0,450.0,4.0,63.1% 1-octene/36.9% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
