,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper,name,fuel_type,is_biofuel,density_at_15_kg_m3,density_at_20_kg_m3,density_at_25_kg_m3,density_at_60_kg_m3,dynamic_viscosity_at_20_mPa_s,dynamic_viscosity_at_25_mPa_s,dynamic_viscosity_at_60_mPa_s,kinematic_viscosity_at_20_cST,kinematic_viscosity_at_40_cST,lower_heating_value_MJ_kg,D(CN),measurement_type,injection_timing_CAD_BTDC,ignition_delay_CAD,YSI,total_particulate_mass_concentration_mg_m2,C8:0,C10:0,C12:0,C14:0,C16:0,C18:0,C18:1,C18:2,C18:3,C16:1,Reference fossil diesel,farnesene,geranial,toluene,n-heptane,1-octene,n-octane,C18:3n6,C18:3n3,C20:1,other,C16,C18
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,25.0% toluene/75.0% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,8.1,,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,35.0.0% toluene/65.0% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,8.7,,,,,,,,,,,,,,,,0.35,0.65,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,35.1% toluene/64.9% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,8.9,,,,,,,,,,,,,,,,0.35100000000000003,0.649,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,40.0% toluene/60.0% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,9.3,,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,46.3% toluene/53.7% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,9.9,,,,,,,,,,,,,,,,0.46299999999999997,0.537,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,50.0% toluene/50.0% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,10.7,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,10.0% toluene/90.0% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,6.3,,,,,,,,,,,,,,,,0.1,0.9,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,19.8% toluene/80.2% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,6.1,,,,,,,,,,,,,,,,0.198,0.802,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,30.9% toluene/69.1% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,6.1,,,,,,,,,,,,,,,,0.309,0.691,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,40.0% toluene/60.0% n-heptane,toluene and n-heptane blend,N,,,,,,,,,,,,,7.5,6.3,,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,10.0% 1-octene/90.0% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,6.5,,,,,,,,,,,,,,,,,,0.1,0.9,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,25.0% 1-octene/75.0% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,6.9,,,,,,,,,,,,,,,,,,0.25,0.75,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,50.0% 1-octene/50.0% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,7.3,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,63.1% 1-octene/36.9% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,7.3,,,,,,,,,,,,,,,,,,0.631,0.369,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,75.0% 1-octene/25.0% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,7.5,,,,,,,,,,,,,,,,,,0.75,0.25,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,87.5% 1-octene/12.5% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,7.7,,,,,,,,,,,,,,,,,,0.875,0.125,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,95.5% 1-octene/4.5% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,7.9,,,,,,,,,,,,,,,,,,0.955,0.045,,,,,,
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,50.0% 1-octene/50.0% n-octane,1-octene and n-octane blend,N,,,,,,,,,,,,,7.5,5.7,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",SCG Oil,,Y,,,,,,,,,,,,,,5.2,,0.79,,,,,,,,,,,,,,,,,,,,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",SCG Biodiesel,,Y,0.893,,,,,,,,6.26,,,,,,,,,,,,0.3419,0.07919999999999999,0.0929,0.436,,,,,,,,,,0.0281,0.0113,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",SCG B5,,Y,0.85,,,,,,,,2.4,,,,,,,,,,,,0.017095,0.00396,0.004645,0.0218,,,0.95,,,,,,,0.001405,0.000565,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",SCG B7,,Y,,,,,,,,,,,,,,5,,0.41,,,,,0.023933,0.005544,0.006503,0.030520000000000002,,,0.93,,,,,,,0.001967,0.000791,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",SCG B20,,Y,0.856,,,,,,,,2.75,,,,,4.4,,0.36,,,,,0.06838,0.01584,0.01858,0.0872,,,0.8,,,,,,,0.00562,0.00226,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",SCG B100,,Y,0.892,,,,,,,,5.19,,,,,4.2,,0.48,,,,,0.3419,0.07919999999999999,0.0929,0.436,,,,,,,,,,0.0281,0.0113,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",Rapeseed Biodiesel,,Y,0.883,,,,,,,,4.325,,,,,3.6,,0.22,,,,,0.048,0.0178,0.6124,0.2152,,,,,,,,,,,0.0782,0.0125,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",Rapeseed B7,,Y,,,,,,,,,,,,,,4.4,,0.43,,,,,0.0033600000000000006,0.0012460000000000001,0.04286800000000001,0.015064000000000001,,,0.93,,,,,,,,0.005474000000000001,0.0008750000000000001,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",Rapeseed B20,,Y,,,,,,,,,,,,,,4.2,,0.42,,,,,0.009600000000000001,0.0035600000000000002,0.12248000000000002,0.04304,,,0.8,,,,,,,,0.01564,0.0025000000000000005,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",Soya Biodiesel,,Y,0.885,,,,,,,,4.075,,,,,4.2,,0.32,,,,,0.1032,0.0436,0.268,0.5069,,,,,,,,,,,0.0675,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",Soya B7,,Y,,,,,,,,,,,,,,4.6,,0.37,,,,,0.007224,0.0030520000000000005,0.018760000000000002,0.03548300000000001,,,0.93,,,,,,,,0.004725000000000001,,,,
"Research Paper: Transesterification of high-acidity spent coffee ground oil and subsequent
 combustion and emissions characteristics in a compression-ignition engine",Soya B20,,Y,,,,,,,,,,,,,,4.4,,0.35,,,,,0.020640000000000002,0.00872,0.05360000000000001,0.10138000000000001,,,0.8,,,,,,,,0.013500000000000002,,,,
