gen,best_cn,mean_cn,best_ysi,mean_ysi,pareto_size,pop_size
1,63.25606040463773,50.01431975958563,95.05058131458328,105.36037175106466,3,447
2,63.25606040463773,55.085356974954465,94.7876171939032,103.71910632459738,6,141
3,64.2472462293497,57.392047556685135,94.7745091868833,105.28310625618717,3,141
4,65.13342715846167,59.54202671392191,94.30168229850241,105.91527800772991,2,139
5,65.3586089254427,60.06680894182413,94.30168229850241,104.96919359898729,4,135
6,65.3586089254427,59.928481150021426,94.17707153421061,102.04170215941248,4,132
7,65.3586089254427,59.34694977989887,93.94732791699195,100.05015405908762,4,132
8,65.58671419489448,60.937296676544214,93.94732791699195,100.16778758478218,5,118
9,65.61589401937542,60.807633868423515,93.94732791699195,98.43563154948903,7,118
10,65.61589401937542,61.01415844878034,93.94732791699195,97.89458199628862,7,110
11,65.61589401937542,61.41070378240631,93.94732791699195,98.11273987651724,7,107
12,65.61589401937542,61.44536908327946,93.94732791699195,98.46701723412718,7,115
13,65.83058633684182,61.92646071560667,93.94732791699195,99.91891473422125,10,115
14,65.83058633684182,61.48856900242638,93.94732791699195,98.84508396171388,11,123
15,65.83058633684182,61.92302271136539,93.94732791699195,98.68547645789633,12,105
16,65.86950284850539,62.519160701635016,93.94732791699195,101.53160636434306,12,123
