rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
1,C#CCCCCCCCCCCCCCCCCCCOCCCCCCC,65.86950284850539,14.869502848505391,65.86950284850539,116.5098595521242,True,OK,False,100.0,65.86950284850539,0.15,0.07603504126689387,True,116.5098595521242,274.7594432787952,810.783862555657
2,C#CCCCCCCOCCOCCOCCOCCCC,65.79087803593418,14.790878035934185,65.79087803593418,107.02530750321316,True,OK,False,100.0,65.79087803593418,0.15,0.027785051027868102,True,107.02530750321316,264.22929457939813,844.4163408079754
3,C#CCCCCCOCCOCCOCCOCCCC,65.70996012858072,14.709960128580718,65.70996012858072,104.28574448028095,True,OK,False,100.0,65.70996012858072,0.15,0.024067491486894355,True,104.28574448028095,261.67585969186143,843.5525932189324
4,C#CCCCCOCCOCCOCCOCCCC,65.70866450541716,14.708664505417161,65.70866450541716,101.80696535925435,True,OK,False,100.0,65.70866450541716,0.15,0.018457630269886782,True,101.80696535925435,259.0895576986363,842.5828445215232
5,C#CCCCCCOCCOCCOCCOCCC,65.65337743469851,14.653377434698513,65.65337743469851,101.72111264471489,True,OK,False,100.0,65.65337743469851,0.15,0.022771419605634335,True,101.72111264471489,259.22737015334974,843.5886435152844
6,CCCCOCCOCCOCCOCCCC,65.58671419489448,14.586714194894483,65.58671419489448,100.13031288650814,True,OK,False,100.0,65.58671419489448,0.15,0.021849262063052377,True,100.13031288650814,254.62591558738222,840.989904609941
7,CCCCOCCOCCOCCOCCC,65.55447128520302,14.554471285203022,65.55447128520302,98.73474422577593,True,OK,False,100.0,65.55447128520302,0.15,0.01895998400796839,True,98.73474422577593,251.98793517189233,840.0219699131347
8,CCCOCCOCCOCCOCCC,65.5344810679475,14.534481067947496,65.5344810679475,97.23944571739591,True,OK,False,100.0,65.5344810679475,0.15,0.013770670324393497,True,97.23944571739591,249.71220653346415,841.6210241765821
9,CCCOCCOCCOCCOCC,65.34010384041045,14.34010384041045,65.34010384041045,95.72499093058643,True,OK,False,100.0,65.34010384041045,0.15,0.013070945792950539,True,95.72499093058643,247.01773309552686,840.4917415936311
10,CCCOCCOCOCCOCC,65.31617647575048,14.316176475750481,65.31617647575048,95.24772886381689,True,OK,False,100.0,65.31617647575048,0.15,0.011939449839968641,True,95.24772886381689,244.36992383809206,839.7946945795144
11,CCOCCOCCOCCOCC,65.13342715846167,14.133427158461672,65.13342715846167,94.49881572124153,True,OK,False,100.0,65.13342715846167,0.15,0.010330280128603708,True,94.49881572124153,244.5519736554785,840.9576655917424
12,CCOCCOCCOCCOC=O,59.383680094614206,8.383680094614206,59.383680094614206,93.94732791699195,True,OK,False,100.0,59.383680094614206,0.15,0.039946363831038445,True,93.94732791699195,245.08683190762065,844.3567328950122
