Species,Formula,Original YSI,Original Scale,Species Category,Unified YSI,Unified YSI Error,SMILES_file1,measured (D)CN,measurement type
1-HEXENE,C6H12,18.7,low soot,alkenes,42.4,2,C=CCCCC,27.35,IQT-DCN
2-METHYLHEXANE,C7H16,18.6,low soot,linear alkanes,42.4,2,CCCCC(C)C,43.5,IQT-DCN
CYCLOHEXANOL,C6H12O,18.5,low soot,saturated alcohols,42.3,2,OC1CCCCC1,16.3,IQT-DCN
1-OCTANOL,C8H18O,16.7,low soot,saturated alcohols,41.1,2.1,CCCCCCCCO,33.8,IQT-DCN
PENTYL ACETATE,C7H14O2,15.6,low soot,saturated esters,40.4,2.1,CCCCCOC(C)=O,23.6,IQT-DCN
CYCLOPENTANE,C5H10,14,low soot,cyclic alkanes,39.4,2.1,C1CCCC1,6.1,IQT-DCN
2-HEPTANOL,C7H16O,14,low soot,saturated alcohols,39.4,2.1,CCCCCC(C)O,25,IQT-DCN
METHYL OCTANOATE,C9H18O2,13.3,low soot,saturated esters,38.9,2.1,CCCCCCCC(=O)OC,39.8,IQT-DCN
DIISOPROPYL ETHER,C6H14O,12.9,low soot,saturated ethers,38.7,2.1,CC(C)OC(C)C,23.6,IQT-DCN
DIBUTYL ETHER,C8H18O,12.9,low soot,saturated ethers,38.7,2.1,CCCCOCCCC,115.4,IQT-DCN
4-HEPTANOL,C7H16O,12.6,low soot,saturated alcohols,38.5,2.1,CCCC(O)CCC,21,IQT-DCN
3-METHYLPENTANE,C6H14,12.2,low soot,linear alkanes,38.2,2.1,CCC(C)CC,30.7,IQT-DCN
2-OCTANONE,C8H16O,11.7,low soot,saturated alkanone,37.9,2.1,CCCCCCC(C)=O,36.6,IQT-DCN
OCTANAL,C8H16O,11.1,low soot,saturated aldehyde,37.5,2.1,CCCCCCCC=O,105.75,IQT-DCN
2-METHYLPENTANE,C6H14,9.8,low soot,linear alkanes,36.7,2.1,CCCC(C)C,34.5,IQT-DCN
N-HEPTANE,C7H16,8.7,low soot,linear alkanes,36,2.2,CCCCCCC,53.52857143,IQT-DCN
3-OCTANONE,C8H16O,8.8,low soot,saturated alkanone,36,2.2,CCCCCC(=O)CC,36,IQT-DCN
1-HEPTANOL,C7H16O,6.7,low soot,saturated alcohols,34.7,2.2,CCCCCCCO,29,IQT-DCN
CYCLOHEXANONE,C6H10O,6.1,low soot,saturated alkanone,34.3,2.2,O=C1CCCCC1,10.4,IQT-DCN
2-METHYL-2-BUTANOL,C5H12O,3.9,low soot,saturated alcohols,32.9,2.2,CCC(C)(C)O,12.1,IQT-DCN
METHYL HEPTANOATE,C8H16O2,3.3,low soot,saturated esters,32.5,2.2,CCCCCCC(=O)OC,34.2,IQT-DCN
2-HEPTANONE,C7H14O,17,high soot,aliphatic,32.4,4.7,CCCCCC(C)=O,30,IQT-DCN
1-BUTOXY-2-PROPANOL,C7H16O2,2,low soot,other multi-oxygen compounds,31.7,2.2,CCCCOCC(C)O,36.1,IQT-DCN
N-HEXANE,C6H14,0,low soot,linear alkanes,30.4,2.3,CCCCCC,48.95,IQT-DCN
2-HEPTANONE,C7H14O,0,low soot,saturated alkanone,30.4,2.3,CCCCCC(C)=O,30,IQT-DCN
1-HEXANOL,C6H14O,-0.6,low soot,saturated alcohols,30,2.3,CCCCCCO,23.3,Other
ETHYL PENTANOATE,C7H14O2,-3,low soot,saturated esters,28.4,2.3,CCCCC(=O)OCC,18.6,IQT-DCN
HEXANAL,C6H12O,-5.7,low soot,saturated aldehyde,26.7,2.4,CCCCCC=O,75.2,IQT-DCN
TETRAHYDROPYRAN,C5H10O,-6,low soot,cyclic saturated ethers,26.5,2.4,C1CCOCC1,38.2,IQT-DCN
2-ISOPROPOXYETHANOL,C5H12O2,-7.5,low soot,other multi-oxygen compounds,25.5,2.4,CC(C)OCCO,27.8,IQT-DCN
1-PENTANOL,C5H12O,-7.7,low soot,saturated alcohols,25.4,2.4,CCCCCO,19.1,Other
2-BUTOXYETHANOL,C6H14O2,-7.8,low soot,other multi-oxygen compounds,25.3,2.4,CCCCOCCO,38,Other
2-BUTANOL,C4H10O,-8.6,low soot,saturated alcohols,24.8,2.4,CCC(C)O,8.5,IQT-DCN
N-PENTANE,C5H12,-8.9,low soot,linear alkanes,24.6,2.4,CCCCC,30,Other
METHYL PENTANOATE,C6H12O2,-12.6,low soot,saturated esters,22.3,2.5,CCCCC(=O)OC,13.3,IQT-DCN
CYCLOPENTANONE,C5H8O,,unified scale,cyclic ketone,21.83809051,4,O=C1CCCC1,9,IQT-DCN
3-PENTANONE,C5H10O,-14.4,low soot,saturated alkanone,21.1,2.5,CCC(=O)CC,14.6,IQT-DCN
TETRAHYDROFURAN,C4H8O,-15.7,low soot,cyclic saturated ethers,20.3,2.6,C1CCOC1,21.9,IQT-DCN
DIETHOXYMETHANE,C5H12O2,-18.4,low soot,other multi-oxygen compounds,18.5,2.6,CCOCOCC,57.3,IQT-DCN
BUTANAL,C4H8O,-19.9,low soot,saturated aldehyde,17.6,2.6,CCCC=O,41.1,IQT-DCN
DIETHYL ETHER,C4H10O,-21.1,low soot,saturated ethers,16.8,2.7,CCOCC,150,Other
"1,2-DIMETHOXYETHANE",C4H10O2,-28.8,low soot,other multi-oxygen compounds,11.8,2.8,COCCOC,81,IQT-DCN
METHYL ACETATE,C3H6O2,-29,low soot,saturated esters,11.7,2.8,COC(C)=O,19.5,IQT-DCN
DIMETHOXYMETHANE,C3H8O2,-30.3,low soot,other multi-oxygen compounds,10.9,2.9,COCOC,45.75,Other
ETHANOL,C2H6O,-31.1,low soot,saturated alcohols,10.3,2.9,CCO,7,Other
METHANOL,CH4O,-36.9,low soot,saturated alcohols,6.6,3,CO,3.333333333,Other
