name,smiles,ysi,smiles_ok,cn,,,,,
METHYL PENTANOATE,,-12.6,CCCCC(=O)OC,13.3,,,,,
CYCLOPENTANONE,,21.83809051,O=C1CCCC1,9,,,,,
3-PENTANONE,,-14.4,CCC(=O)CC,14.6,,,,,
TETRAHYDROFURAN,,-15.7,C1CCOC1,21.9,,,,,
DIETHOXYMETHANE,,-18.4,CCOCOCC,57.3,,,,,
BUTANAL,,-19.9,CCCC=O,41.1,,,,,
DIETHYL ETHER,,-21.1,CCOCC,150,,,,,
"1,2-DIMETHOXYETHANE",,-28.8,COCCOC,81,,,,,
METHYL ACETATE,,-29,COC(C)=O,19.5,,,,,
DIMETHOXYMETHANE,,-30.3,COCOC,45.75,,,,,
ETHANOL,,-31.1,CCO,7,,,,,
METHANOL,,-36.9,CO,3.333333333,,,,,
