rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi
1,CCCC(C)(C)OC,55.02742197774607,0.027421977746072912,55.02742197774607,40.457202168021496,True,OK,False,100.0,55.02742197774607,0.3,0.09107334591503824,True,40.457202168021496
2,CCOC(C)(C)C,55.0741456298022,0.07414562980220296,55.0741456298022,38.88335001076405,True,OK,False,100.0,55.0741456298022,0.3,0.09976509943947609,True,38.88335001076405
3,COCC(C)C,55.093151736003506,0.0931517360035059,55.093151736003506,36.64541796448881,True,OK,False,100.0,55.093151736003506,0.3,0.11806543024801874,True,36.64541796448881
4,CCCC(=O)OCCOC,54.711482599244675,0.2885174007553246,54.711482599244675,34.962885751873486,True,OK,False,100.0,54.711482599244675,0.3,0.00960661514256933,True,34.962885751873486
5,CCOCCO,54.308095161689266,0.6919048383107338,54.308095161689266,32.590081716332215,True,OK,False,100.0,54.308095161689266,0.3,0.10960268449858668,True,32.590081716332215
6,COCOCC(C)O,58.08685096432389,3.0868509643238866,58.08685096432389,31.860903827054823,True,OK,False,100.0,58.08685096432389,0.3,0.03739806103959753,True,31.860903827054823
7,COCCOCCO,61.07464658110043,6.074646581100431,61.07464658110043,31.12924371895729,True,OK,False,100.0,61.07464658110043,0.3,0.019589018914542677,True,31.12924371895729
