rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi
1,CCCC(C)(C)OC,55.02742197774607,0.027421977746072912,55.02742197774607,40.457202168021496,True,OK,False,100.0,55.02742197774607,0.3,0.09107334591503824,True,40.457202168021496
2,CCOC(C)(C)C,55.0741456298022,0.07414562980220296,55.0741456298022,38.88335001076405,True,OK,False,100.0,55.0741456298022,0.3,0.09976509943947609,True,38.88335001076405
3,COCC(C)C,55.093151736003506,0.0931517360035059,55.093151736003506,36.64541796448881,True,OK,False,100.0,55.093151736003506,0.3,0.11806543024801874,True,36.64541796448881
4,CCCCCCCC=C,54.827359126822934,0.1726408731770661,54.827359126822934,48.37588501277172,True,OK,False,100.0,54.827359126822934,0.3,0.020694506748634378,True,48.37588501277172
5,C=CCCCCCCC,54.82735877522913,0.17264122477087085,54.82735877522913,48.37588501277172,True,OK,False,100.0,54.82735877522913,0.3,0.020694507429581788,True,48.37588501277172
6,CCC(C)CCOCCO,55.232726037488455,0.23272603748845455,55.232726037488455,40.78783340756682,True,OK,False,100.0,55.232726037488455,0.3,0.14179500586525884,True,40.78783340756682
7,CCCCC(=O)OCCOC,55.24860893593893,0.24860893593893252,55.24860893593893,37.506540655150864,True,OK,False,100.0,55.24860893593893,0.3,0.026179840737165394,True,37.506540655150864
8,CCCC(=O)OCCOC,54.711482599244675,0.2885174007553246,54.711482599244675,34.962885751873486,True,OK,False,100.0,54.711482599244675,0.3,0.00960661514256933,True,34.962885751873486
9,CCCCCC(=O)CCCCC,55.29023307147836,0.29023307147836164,55.29023307147836,46.99853077088372,True,OK,False,100.0,55.29023307147836,0.3,0.004090581395213566,True,46.99853077088372
10,O=CCCCCOCCO,54.622479792394394,0.3775202076056061,54.622479792394394,35.608336507219676,True,OK,False,100.0,54.622479792394394,0.3,0.07100759072167595,True,35.608336507219676
11,COCCCCC(=O)OC,54.60935866326538,0.39064133673461754,54.60935866326538,35.37050539974472,True,OK,False,100.0,54.60935866326538,0.3,0.04091852240260907,True,35.37050539974472
12,CCCCCCCCOC(C)=O,54.60588948721255,0.39411051278744935,54.60588948721255,49.35412986456236,True,OK,False,100.0,54.60588948721255,0.3,0.04801625614237548,True,49.35412986456236
13,CCOC(=O)CCCOC,55.41150937668097,0.4115093766809679,55.41150937668097,34.99645846218864,True,OK,False,100.0,55.41150937668097,0.3,0.0477174836552513,True,34.99645846218864
14,CCCCCCCC(=O)CCC,55.47618857265546,0.47618857265545955,55.47618857265546,47.34192889754705,True,OK,False,100.0,55.47618857265546,0.3,0.02586911686858473,True,47.34192889754705
15,CCCCOCC(C)O,54.459615565814055,0.5403844341859454,54.459615565814055,37.16368667529646,True,OK,False,100.0,54.459615565814055,0.3,0.14569427532994872,True,37.16368667529646
16,CCOCCO,54.308095161689266,0.6919048383107338,54.308095161689266,32.590081716332215,True,OK,False,100.0,54.308095161689266,0.3,0.10960268449858668,True,32.590081716332215
17,CCCOCCO,55.799918215046844,0.7999182150468442,55.799918215046844,33.5316521939393,True,OK,False,100.0,55.799918215046844,0.3,0.09638045247389304,True,33.5316521939393
18,CCC(C)OC(=O)CCCOC,54.14224731009786,0.8577526899021422,54.14224731009786,42.63609490875595,True,OK,False,100.0,54.14224731009786,0.3,0.08404000358068575,True,42.63609490875595
19,CCCCCCCC(=O)CC,54.11688614590982,0.8831138540901833,54.11688614590982,44.118294114326154,True,OK,False,100.0,54.11688614590982,0.3,0.019711093247361533,True,44.118294114326154
20,CC(C)CCOCCO,53.99974247426606,1.000257525733943,53.99974247426606,38.24064947803813,True,OK,False,100.0,53.99974247426606,0.3,0.16376304988770785,True,38.24064947803813
21,CCCCCOCCO,56.039110291884285,1.0391102918842847,56.039110291884285,37.01402125170699,True,OK,False,100.0,56.039110291884285,0.3,0.11881585932054128,True,37.01402125170699
22,CCOC(=O)CCCCOC,56.04717550212814,1.047175502128141,56.04717550212814,37.196763075320916,True,OK,False,100.0,56.04717550212814,0.3,0.05636721691804625,True,37.196763075320916
23,CCCOCC(C)O,53.7828221068709,1.2171778931290973,53.7828221068709,34.79408247553757,True,OK,False,100.0,53.7828221068709,0.3,0.12679823578950755,True,34.79408247553757
24,CCCCOCCO,56.220295016750356,1.220295016750356,56.220295016750356,35.06183657012354,True,OK,False,100.0,56.220295016750356,0.3,0.11758323691915595,True,35.06183657012354
