Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
diethyl carbonate 70% + n-decane,"diethyl carbonate : 70, n-decane: 30",Other (Oxygenated + Paraffinic),10,diethyl carbonate,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)OCC,CCCCCCCCCC,,,,,,,,,
di-n-butyl carbonate 70% + n-decane,"di-n-butyl carbonate : 70, n-decane: 30",Other (Oxygenated + Paraffinic),7.4,di-n-butyl carbonate,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCOC(=O)OCCCC,CCCCCCCCCC,,,,,,,,,
di-1-methyl-propyl carbonate 70% + n-decane,"di-1-methyl-propyl carbonate : 70, n-decane: 30",Other (Oxygenated + Paraffinic),8.6,di-1-methyl-propyl carbonate,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCCC,,,,,,,,,
di-2-methyl-propyl carbonate 70% + n-decane,"di-2-methyl-propyl carbonate : 70, n-decane: 30",Other (Oxygenated + Paraffinic),8.7,di-2-methyl-propyl carbonate,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCCC,,,,,,,,,
ditert-butyl carbonate 70% + n-decane,"ditert-butyl carbonate : 70, n-decane: 30",Other (Oxygenated + Paraffinic),9.1,ditert-butyl carbonate,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(C)OC(=O)OC(C)(C)C,CCCCCCCCCC,,,,,,,,,
Butyl valerate 70% + n-decane,"Butyl valerate : 70, n-decane: 30",Other (Oxygenated + Paraffinic),6.9,Butyl valerate,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCC(=O)OCCCC,CCCCCCCCCC,,,,,,,,,
5-nonanone 70% + n-decane,"5-nonanone : 70, n-decane: 30",Other (Oxygenated + Paraffinic),6.1,5-nonanone,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCC(=O)CCCC,CCCCCCCCCC,,,,,,,,,
dimethyl carbonate 72.5% + n-decane,"dimethyl carbonate : 72.5, n-decane: 27.5",Other (Oxygenated + Paraffinic),4.9,dimethyl carbonate,0.725,n-decane,0.275,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)OC,CCCCCCCCCC,,,,,,,,,
dimethyl carbonate 48.9% + n-decane,"dimethyl carbonate : 48.9, n-decane: 51.1",Other (Oxygenated + Paraffinic),5.9,dimethyl carbonate,0.489,n-decane,0.511,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)OC,CCCCCCCCCC,,,,,,,,,
dimethyl carbonate 56% + n-decane,"dimethyl carbonate : 56, n-decane: 44",Other (Oxygenated + Paraffinic),5.3,dimethyl carbonate,0.56,n-decane,0.44,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)OC,CCCCCCCCCC,,,,,,,,,
