,fuel1 inchi,fuel2 inchi,fuel3 inchi,fuel4 inchi,molar fraction fuel 1,molar fraction fuel 2,molar fraction fuel 3,Experimental value (from literature),Synthetic value
358,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.19544031,0.443302877,0.25498853,21.75,20.6
359,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.169437267,0.780804764,0.016896511,25.51,23.1
360,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.15815365,0.730616755,0.055024291,23.48,22.0
361,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.140446588,0.649517168,0.105425125,20.44,20.3
362,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.126185202,0.581068207,0.105175139,18.43,19.0
363,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.112466491,0.518427951,0.146733625,16.42,17.7
364,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.169300101,0.785149474,0.033808734,26.34,23.1
365,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.155619981,0.730833212,0.08014557,23.76,21.8
366,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.136371744,0.653567439,0.148268758,20.24,20.1
367,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.120968313,0.592762133,0.20888715,18.47,18.7
368,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.105407486,0.529271521,0.25785718,15.86,17.3
369,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.39425866,0.519252336,,33.5,31.0
370,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.359692599,0.473727634,,30.1,29.0
371,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.327592439,0.431450609,,25,27.1
372,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.297703396,0.392085703,,20.4,25.4
373,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.243703717,0.320966252,,16.2,22.3
374,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.154199913,0.203086637,,13.7,17.1
375,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.083039289,0.109365626,,9.2,13.0
376,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.299292269,0.61316625,,28.8,27.5
377,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.272761243,0.558811589,,26.1,25.8
378,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.248173502,0.508438176,,24.34,24.2
379,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.225323082,0.46162405,,21.7,22.7
380,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.184146281,0.377264288,,17.8,20.1
381,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.116196314,0.238053787,,11.85,15.7
382,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.062437573,0.127917144,,8.49,12.2
383,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.162389081,0.748552191,,23.5,22.5
384,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.147766931,0.681149615,,21.4,21.2
385,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.134255787,0.618868358,,18.91,20.0
386,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.121733662,0.561146098,,17.3,18.9
387,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.099251714,0.457512828,,13.7,16.9
388,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.062383987,0.287566565,,9.27,13.7
389,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,0.033418813,0.154048076,,8.4,11.1
390,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.400815859,0.527888395,,33.8,31.6
391,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.371394887,0.489139953,,32,30.1
392,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.3162607,0.416526316,,28.4,27.4
393,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.265571936,0.349767455,,24.9,24.9
394,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.175540554,0.231193001,,19.4,20.4
395,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.098011393,0.129084406,,15.1,16.6
396,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.304331607,0.623490447,,29.5,28.1
397,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.281736947,0.577200301,,27.21,26.9
398,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.260150182,0.532975049,,26.55,25.7
399,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.239505344,0.490679543,,24.5,24.6
400,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.200805154,0.411393665,,21.3,22.5
401,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.132363956,0.27117677,,17.1,18.8
402,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.073728904,0.151049929,,14,15.7
403,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.165171511,0.761378139,,23.9,23.0
404,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.152708723,0.703929405,,22.81,22.1
405,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.140832266,0.649183433,,21.25,21.3
406,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.129501713,0.596953874,,20.21,20.6
407,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.108334381,0.499380486,,17.96,19.1
408,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.071130039,0.327882552,,15.17,16.6
409,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",,0.039487806,0.182023839,,13.09,14.4
410,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",,0.307868362,0.630736269,,29.2,28.2
411,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",,0.288207677,0.590457018,,28.1,27.2
412,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",,0.250252151,0.512696748,,24.9,25.1
413,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",,0.167125271,0.770384236,,23.6,23.1
414,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",,0.156274525,0.720366402,,21.9,22.3
415,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",,0.135396536,0.624126775,,18.9,20.9
416,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",0.35350263,0.31877223,0.259746944,30.4,26.9
417,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",0.328677204,0.296385815,0.241505698,28.8,25.9
418,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",0.281693755,0.254018326,0.206983162,25.7,23.8
419,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",0.357369166,0.322258892,0.262588001,29.5,27.1
420,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",0.335808772,0.302816732,0.246745838,27.7,26.1
421,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",0.293722502,0.264865291,0.215821654,25.4,24.3
422,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.689360119,,,62.2,80.3
423,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.425195044,,,79.4,102.8
424,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.197801025,,,106.2,122.1
425,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.660841655,,,66.6,58.6
426,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.393752656,,,93.4,91.1
427,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.17796773,,,44.3,117.4
428,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.776505098,,,11.1,35.8
429,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.69845458,,,20.2,46.2
430,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.366712844,,,66.1,90.3
431,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.20468353,,,97.2,111.8
432,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.563,0.1415,0.23988,34.5,28.1
433,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.24,0.3,0.34,40.87,30.1
434,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.15,0.19,0.21,56,41.4
435,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.48,0.25,0.07,19.8,18.0
436,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.095,0.3715,0.134,37.3,20.9
437,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.116,0.151,0.49,60.5,45.6
438,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3","InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.3,0.1,0.1,70,70.1
439,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3","InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.1,0.1,0.2,61.43,60.1
440,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3","InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.2,0.3,0.4,47.2,44.6
441,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3","InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.1,0.6,0.2,51.3,50.0
442,"InChI=1S/C8H14/c1-7(2)5-6-8(3)4/h5-6H,1-4H3","InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3","InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3","InChI=1S/C16H34/c1-13(10-14(2,3)4)11-16(8,9)12-15(5,6)7/h13H,10-12H2,1-9H3",0.11,0.06,0.19,43.8,34.0
443,"InChI=1S/C8H14/c1-7(2)5-6-8(3)4/h5-6H,1-4H3","InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3","InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3","InChI=1S/C16H34/c1-13(10-14(2,3)4)11-16(8,9)12-15(5,6)7/h13H,10-12H2,1-9H3",0.15,0.17,0.51,69.3,65.5
444,"InChI=1S/C8H14/c1-7(2)5-6-8(3)4/h5-6H,1-4H3","InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3","InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3","InChI=1S/C16H34/c1-13(10-14(2,3)4)11-16(8,9)12-15(5,6)7/h13H,10-12H2,1-9H3",0.12,0.2,0.14,50.6,32.8
445,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3","InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3","InChI=1S/C16H34/c1-13(10-14(2,3)4)11-16(8,9)12-15(5,6)7/h13H,10-12H2,1-9H3",0.07,0.07,0.2,78.5,35.1
