fuel1_inchi,fuel2_inchi,fuel3_inchi,frac_fuel1 (molar),frac_fuel2 (molar),DCN,Name,num_components
CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,0.4487,,9.66,44.87%iso-octane-55.13%tetralin,2
CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,0.3518,,9.22,35.18%iso-octane-64.82%tetralin,2
CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,0.2586,,9.2,25.86%iso-octane-74.14%tetralin,2
CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,0.1691,,9.0,16.91%iso-octane-83.09%tetralin,2
CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,0.0829,,8.92,8.29%iso-octane-91.71%tetralin,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.354,,45.0,35.4%n-decane-64.6%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.467,,50.0,46.7%n-decane-53.3%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.61,,55.0,61%n-decane-39%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.744,,59.1,74.4%n-decane-25.6%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.934,,65.0,93.4%n-decane-6.6%iso-octane,2
CCCCCCCCCC,CC1=CC=CC=C1,,0.796,,62.14,79.6%n-decane-20.4%toluene,2
CCCCCCCCCC,CC1=CC=CC=C1,,0.592,,54.14,59.2%n-decane-40.8%toluene,2
CCCCCCCCCC,CC1=CC=CC=C1,,0.196,,28.58,19.6%n-decane-80.4%toluene,2
CCCCCCCCCC,CC1=CC=CC=C1,,0.398,,44.18,39.8%n-decane-60.2%toluene,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.807,,61.21,80.7%n-decane-19.3%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.603,,55.08,60.3%n-decane-39.7%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.4,,46.93,40%n-decane-60%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.201,,36.59,20.1%n-decane-79.9%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.807,,36.93,80.7%n-decane-19.3%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.603,,43.27,60.3%n-decane-39.7%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.4,,32.99,40%n-decane-60%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.201,,31.66,20.1%n-decane-79.9%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.683,0.172,57.14,68.3%n-decane-17.2%iso-octane-14.5%toluene,3
CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.376,0.454,45.52,37.6%n-decane-45.4%iso-octane-17%toluene,3
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.261,,45.0,26.1%n-dodecane-73.9%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.346,,50.0,34.6%n-dodecane-65.4%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.442,,55.0,44.2%n-dodecane-55.8%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.519,,59.1,51.9%n-dodecane-48.1%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.662,,65.0,66.2%n-dodecane-33.8%iso-octane,2
CCCCCCCCCCCCCCCC,,,,,45.0,28.6%n-cetane-71.4%iso-cetane,1
CCCCCCCCCCCCCCCC,,,,,50.0,34.9%n-cetane-65.1%iso-cetane,1
CCCCCCCCCCCCCCCC,,,,,55.0,41%n-cetane-59%iso-cetane,1
CCCCCCCCCCCCCCCC,,,,,59.1,45.9%n-cetane-54.1%iso-cetane,1
CCCCCCCCCCCCCCCC,,,,,65.0,52.7%n-cetane-47.3%iso-cetane,1
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.261,,45.0,26.1%n-dodecane-73.9%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.346,,50.0,34.6%n-dodecane-65.4%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.442,,55.0,44.2%n-dodecane-55.8%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.519,,59.1,51.9%n-dodecane-48.1%iso-octane,2
CCCCCCCCCCCC,CC(C)CC(C)(C)C,,0.662,,65.0,66.2%n-dodecane-33.8%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.354,,45.0,35.4%n-decane-64.6%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.467,,50.0,46.7%n-decane-53.3%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.61,,55.0,61%n-decane-39%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.744,,59.1,74.4%n-decane-25.6%iso-octane,2
CCCCCCCCCC,CC(C)CC(C)(C)C,,0.934,,65.0,93.4%n-decane-6.6%iso-octane,2
CCCCCCC,CCCCC1CCCCC1,,0.2037,,48.4915,20.37%n-heptane-79.63%n-butylcyclohexane,2
CCCCCCC,CCCCC1CCCCC1,,0.4056,,49.4207,40.56%n-heptane-59.44%n-butylcyclohexane,2
CCCCCCC,CCCCC1CCCCC1,,0.5996,,50.2142,59.96%n-heptane-40.04%n-butylcyclohexane,2
CCCCCCC,CCCCC1CCCCC1,,0.7968,,51.4173,79.68%n-heptane-20.32%n-butylcyclohexane,2
CCCCCCC,C1CCC2CCCCC2C1,,0.1993,,40.4283,19.93%n-heptane-80.07%decalin,2
CCCCCCC,C1CCC2CCCCC2C1,,0.398,,42.998,39.8%n-heptane-60.2%decalin,2
CCCCCCC,C1CCC2CCCCC2C1,,0.5982,,45.4308,59.82%n-heptane-40.18%decalin,2
CCCCCCC,C1CCC2CCCCC2C1,,0.7984,,50.4604,79.84%n-heptane-20.16%decalin,2
CCCCCCC,C1CCCCCC1,,0.3996,,40.1276,39.96%n-heptane-60.04%cycloheptane,2
CCCCCCC,C1CCCCCC1,,0.6076,,44.0627,60.76%n-heptane-39.24%cycloheptane,2
CCCCCCC,C1CCCCCC1,,0.7969,,48.8205,79.69%n-heptane-20.31%cycloheptane,2
CCCCCCC,CC1CCCCC1,,0.2011,,29.6308,20.11%n-heptane-79.89%methylcyclohexane,2
CCCCCCC,CC1CCCCC1,,0.4012,,35.8905,40.12%n-heptane-59.88%methylcyclohexane,2
